site,donation_site_count,councildist,dsny_section,hours
Unity Plaza Community Center,1,42.0,BKN054,
1513 Forest Ave,1,49.0,SI013,
West Village Thrift Shop,1,3.0,MN022,
African International Collaborative Center,1,12.0,BX121,
City Harvest,1,38.0,BKS073,"Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed"
569 Wilson Ave,1,37.0,BKN043,
University Heights Educational c/o BCS,1,33.0,BKN011,"Sunday Closed, Saturday 12:00 PM-7:00 PM, Friday 12:00 PM-12:00 PM, Thursday 12:00 PM-7:00 PM, Wednesday 12:00 PM-7:00 PM, Tuesday 12:00 PM-7:00 PM, Monday Closed"
2275-2375 Richmond Ave,1,51.0,SI024,
30-05 Whitestone Expy,1,20.0,QE073,
181 Lexington Ave,1,36.0,BKN032,
Calvary's Mission,1,29.0,QW093,"Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-06:00 PM, Sunday Closed"
St. Ann's of Morrisania,1,8.0,BX012,
Los Redimidos en la Sangre de Cristo,1,15.0,BX061,"Monday Closed, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-06:30 PM"
Clothing,2,49.0,SI012,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM"
Staten Island Animal Care Center,1,51.0,SI036,"Monday 10:00 AM-10:00 PM, Tuesday 10:00 AM-10:00 PM, Wednesday 10:00 AM-10:00 PM, Thursday 10:00 AM-10:00 PM, Friday 10:00 AM-10:00 PM, Saturday 10:00 AM-10:00 PM, Sunday 10:00 AM-10:00 PM"
33-34 21 St,1,22.0,QW013,
iFixScreens Greenwich Village,1,2.0,MN022,
India Home Inc,1,24.0,QE082,
265 Nagle Ave,1,10.0,MN124,
Hope Gardens Multi-Service Senior Center,1,37.0,BKN042,"Monday 08:00 AM-06:00 PM, Tuesday 08:00 AM-06:00 PM, Wednesday 08:00 AM-06:00 PM, Thursday 08:00 AM-06:00 PM, Friday 08:00 AM-06:00 PM, Saturday 10:00 AM-04:00 PM, Sunday Closed"
495 E 180 St,1,15.0,BX062,
Women's Facility,1,36.0,BKN082,"Monday 11:00 AM-07:30 PM, Tuesday 11:00 AM-07:30 PM, Wednesday 11:00 AM-07:30 PM, Thursday 11:00 AM-07:30 PM, Friday 11:00 AM-07:30 PM, Saturday 11:00 AM-07:30 PM, Sunday Closed"
Brooklyn Community Pride Center,1,36.0,BKN033,
Mobile Norway,3,50.0,SI021,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM"
Earwax Records,1,33.0,BKN011,
74-39 Jamaica Ave,1,32.0,QW092,
Black Spring Books,2,34.0,BKN012,
Rough Trade NYC,1,33.0,BKN012,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed"
Love Covenant Church,1,31.0,QE136,"Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM"
COUNTRY OF,1,1.0,MN032,
AuH2O,1,2.0,MN033,"Friday 8:00 AM-8:00 PM, Thursday 8:00 AM-8:00 PM, Wednesday 8:00 AM-8:00 PM, Tuesday 8:00 AM-8:00 PM, Monday 8:00 AM-8:00 PM, Sunday 2:00 PM-4:00 PM, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturd"
950 Allerton Ave,1,13.0,BX112,
Bike Plant,1,36.0,BKN031,
25 Mcguinness Blvd,1,33.0,BKN013,
126-06 15 Ave,3,19.0,QE075,
Designer Optical of Pelham,1,13.0,BX111,
Applebee's Grill + Bar,2,51.0,SI036,
Record Shop,1,38.0,BKS061,
Soho Thrift Shop,1,1.0,MN021,
Met Council Food Distribution Center,1,45.0,BKS185,
Apple Bank,1,13.0,BX111,
183-14 Hillside Ave,1,23.0,QE122,
