join_property_id,total_indirect_ghg_emissions,building_name,building_address,building_latitude,building_longitude
1634584,1.4,X138-0200182,2060 Lafayette Avenue,40.822665,-73.853366
1633179,1.3,Q038-0400036,135-21 241st Street,40.671561,-73.734043
1460459,5.4,909 Third Avenue,909 Third Avenue,40.758744,-73.968618
1633221,1.5,X127-0200170,1560 Purdy Street,40.837931,-73.853524
1143922,5.3,NE - 111 WALL STREET,111 WALL STREET,40.704553,-74.006636
1633968,1.0,K100-0300111,2951 West 3rd Street,40.57732,-73.971313
1634492,1.2,K209-0300212,2609 East 7th Street,40.586845,-73.96198
1633541,1.1,K026-0300051,1010 Lafayette Avenue,40.69211,-73.931857
1633776,1.4,K135-0300142,684 Linden Boulevard,40.65364,-73.933114
8139,7.2,200,200  East  42nd  St.,40.750698,-73.974306
1634641,2.0,X074-0200112,730 Bryant Avenue,40.815455,-73.88577
1634246,1.3,K306-0300301,970 Vermont Street,40.655997,-73.886547
1548095,5.1,RIVERDALE (1798),40 W 225TH ST #50,40.873644,-73.907962
7365,4.0,1155,1155  Avenue  of  the  Americas,40.756631,-73.982826
1634433,1.3,K015-0300019,71 Sullivan Street,40.677343,-74.011558
1633929,1.1,X048-0200085,1290 Spofford Avenue,40.814425,-73.886953
1633579,1.3,K227-0300232,6500 16th Avenue,40.62191,-73.995022
1634225,1.3,Q127-0400113,98-01 25th Avenue,40.764646,-73.871641
1634002,2.1,K247-0300250,7000 21st Avenue,40.612273,-73.986713
1633064,1.2,X040-0200076,468 East 140th Street,40.809534,-73.919903
1634305,1.0,Q207-0400179,159-15 88th Street,40.658089,-73.844432
1069082,5.7,51 Madison,51 Madison Avenue,40.743023,-73.986402
1634231,1.3,K175-0300178,226 Bristol Street,40.665878,-73.911705
1634020,1.5,K321-0300309,180 7th Avenue,40.67146,-73.977783
1633610,1.2,K430-0300346,29 Fort Greene Place,40.688834,-73.976905
1633290,1.5,X166-0200207,250 East 164th Street,40.828696,-73.917668
1634405,0.9,X060-0200095,888 Rev J A Polite Avenue,40.820403,-73.898912
1634661,1.3,K044-0300066,432 Monroe Street,40.686592,-73.940747
1719778,3.9,Court Square Place,24-01 44th Road,40.748206,-73.943731
1633786,1.3,Q111-0400098,37-15 13th Street,40.758831,-73.93938
1633958,4.9,X460-0201311,244 East 163rd Street,40.827607,-73.918681
1634460,1.3,K151-0300153,763 Knickerbocker Avenue,40.693293,-73.90864
1633474,0.9,M108-0100099,1615 Madison Avenue,40.795146,-73.948368
1634273,3.6,K989-0301732,415 89th Street,40.619931,-74.028086
1633415,1.2,Q169-0400153,18-25 212th Street,40.782298,-73.779099
1634747,2.3,Q196-0400172,71-25 113th Street,40.722782,-73.837946
1634685,2.2,K217-0300221,1100 Newkirk Avenue,40.63398,-73.966558
1633761,1.4,K095-0300106,345 Van Sicklen Street,40.595698,-73.97518
1634133,1.2,M140-0100125,123 Ridge Street,40.71925,-73.983056
1633734,3.0,X171-0201229,1717 Fulton Avenue,40.841596,-73.897767
1633444,2.2,R020-0500043,161 Park Avenue,40.636598,-74.132919
1836372,1.2,Q816-0401635,445 Beach 135th Street,40.577026,-73.854539
1633524,1.3,X090-0200131,1116 Sheridan Avenue,40.831992,-73.91796
1634289,1.4,Q048-0400043,155-02 108th Avenue,40.694119,-73.797003
1633076,1.6,X087-0200127,1935 Bussing Avenue,40.895104,-73.845968
1633391,1.4,K615-0300350,1 Wells Street,40.678276,-73.87596
1633098,1.3,K104-0300114,9115 5th Avenue,40.618415,-74.028842
1634279,2.7,Q012-0400012,42-00 72nd Street,40.742633,-73.892805
1633875,1.0,X131-0200174,885 Bolton Avenue,40.823526,-73.859662
