job_filing_number,total_cargovernor_tripping_speed
M00315470-I1,
B00197364-I1,115.0
Q00503279-I1,
M00193197-I1,
M00121955-I1,855.0
M00278202-I1,280.0
Q08015133-P1,
X00688848-P1,175.0
Q00305648-I1,210.0
Q00275844-I1,
B00710408-I1,280.0
M00456084-I1,
M01050759-I1,280.0
M00163402-I1,175.0
M00204225-I1,970.0
B01186523-I1,
M00183708-I1,210.0
B00881496-I1,210.0
Q00889875-I1,
M00500935-I1,
M00171891-I1,452.0
M00547393-P2,395.0
M00026276-P1,452.0
B01037519-I1,
B00361636-I1,175.0
B00807906-I1,
Q00279628-I1,
M00105366-I1,
M00318072-I1,
B00102117-I1,
M00174384-I1,
S08026288-P1,210.0
X00187687-I1,
M00047252-I1,
M00080062-P1,395.0
M00128274-I1,618.0
M00724655-I1,855.0
M00201338-I1,
X00643851-I1,
M01042439-I1,850.0
Q00322628-I1,
M00898726-I1,855.0
M00254733-I1,625.0
M00210757-I1,337.0
M00333832-I1,
