work_description,item_detail,item_quantity,floor_kva,floor_hpkw,floor_outlets,sign_sq_footage,fee_amount,rank,dense_rank
Service Switches,'3@10 1@8',1.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',72.0,0,0,60,0,18.0,1,1
Floor Descriptions,'',72.0,0,0,60,0,18.0,1,1
Service Entrance and Feeder Conductors. List Each Set,'3-#6 & 1-#8G',2.0,0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,"'3x#6,3x#10,2x2x#10'",4.0,0,0,0,0,2280.0,1,1
Panels,'',29.0,0,0,0,0,2280.0,1,1
Service Switches,'45 amps',1.0,0,0,0,0,2280.0,1,1
Panels,"'(1) 200A, (3) 100A'",4.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',169.0,0,2,177,0,42.25,1,1
Floor Descriptions,'',205.0,0,1,87,0,51.25,1,1
Floor Descriptions,'',157.0,0,1,59,0,39.25,1,1
Panels,"'2@20AMP, 1@15AMP'",1.0,0,0,0,0,2280.0,1,1
Panels,'24-circuit',5.0,0,0,0,0,2280.0,1,1
Boiler Controls,'St Johnson',1.0,0,0,0,0,2280.0,1,1
Service Switches,'1 X 2400A',1.0,0,0,0,0,2280.0,1,1
Service Switches,'100 amp',2.0,0,0,0,0,2280.0,1,1
Panels,'24 pole 125A',1.0,0,0,0,0,2280.0,1,1
Service Switches,'2@30A',2.0,0,0,0,0,2280.0,1,1
Service Switches,'',1.0,0,0,0,0,2280.0,1,1
Panels,'60 CKT',2.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',160.0,0,9,2,0,40.0,1,1
Panels,'1 - 20 circ.',1.0,0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,'1 SET OF 3/O',1.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',242.0,0,1,55,0,60.5,1,1
Floor Descriptions,'',242.0,0,1,55,0,60.5,1,1
Service Entrance and Feeder Conductors. List Each Set,'#3AWG',15.0,0,0,0,0,2280.0,1,1
Panels,'8/16',1.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',47.0,0,0,57,0,11.75,1,1
Service Entrance and Feeder Conductors. List Each Set,"'36sets2/0, 3sets3/0, 4 sets4/0'",43.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',93.0,0,5,101,0,23.25,1,1
Panels,'42 circuit breaker panels',4.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',251.0,20,0,80,0,62.75,1,1
Service Entrance and Feeder Conductors. List Each Set,'3#2',1.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',146.0,0,0,156,0,36.5,1,1
Service Switches,'1-100 amps',1.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',98.0,0,0,108,0,24.5,1,1
Panels,'',1.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',3742.0,0,0,482,0,935.5,1,1
Floor Descriptions,'',3742.0,0,0,482,0,935.5,1,1
Floor Descriptions,'',3742.0,0,0,482,0,935.5,1,1
Floor Descriptions,'',3742.0,0,0,482,0,935.5,1,1
Panels,'',18.0,0,0,0,0,2280.0,1,1
Panels,'',4.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',28.0,0,0,10,0,7.0,1,1
Floor Descriptions,'',28.0,0,0,10,0,7.0,1,1
Floor Descriptions,'',8.0,0,0,18,0,2.0,1,1
Service Entrance and Feeder Conductors. List Each Set,"'1 #6 SER , 1 #6 FED'",2.0,0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,'3 #2 awg',1.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',20.0,0,0,15,0,5.0,1,1
Service Entrance and Feeder Conductors. List Each Set,"'3x#6,3x3x#10'",4.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',497.0,0,53,460,0,124.25,1,1
Panels,'30 circuits',1.0,0,0,0,0,2280.0,1,1
Service Entrance and Feeder Conductors. List Each Set,'4/3 riser',1.0,0,0,0,0,2280.0,1,1
Service Switches,'4/000',1.0,0,0,0,0,2280.0,1,1
Service Switches,'30 amps for fire alarm',1.0,0,0,0,0,2280.0,1,1
Floor Descriptions,'',29.0,0,0,13,0,7.25,1,1
