t1_tenantname,t4_tenantname,indexnumber,t3_indexnumber,selfserviceoroperator,category,count,avg_value,total_value,max_value
Red Kite Management,Red Kite Management,BIB09000005,BIB09000005,,low,1,3.0,3,3
Wendy Gall at the Canadian Consulate General,Wendy Gall at the Canadian Consulate General,BIB14000093,BIB14000093,,low,5,1.0,5,1
Anti-Defamation League,Anti-Defamation League,BIB10000491,BIB10000491,,low,1,2.0,2,2
Benchmark Solutions Inc.,Benchmark Solutions Inc.,BIB10000444,BIB10000444,,low,3,1.0,3,1
Jaffe and Asher LLP,Jaffe and Asher LLP,BIB11000059,BIB11000059,,low,1,5.0,5,5
GDS International,GDS International,BIB11000004,BIB11000004,,low,1,1.0,1,1
McCullough Ginsberg Montano & Partners LLP,McCullough Ginsberg Montano & Partners LLP,BIB16000088,BIB16000088,,low,2,3.0,6,3
SEIU Local 32BJ,SEIU Local 32BJ,BIB10000505,BIB10000505,,low,1,10.0,10,10
Starvest Partners/Law Offices of Jeffrey Lichtman,Starvest Partners/Law Offices of Jeffrey Lichtman,BIB12000367,BIB12000367,,low,1,10.0,10,10
UHY Advisors,UHY Advisors,BIB18000164,BIB18000164,,low,3,1.0,3,1
Reproductive specialists of N.Y.,Reproductive specialists of N.Y.,BIB16000103,BIB16000103,,low,1,1.0,1,1
Gartner,Gartner,BIB14000258,BIB14000258,,low,2,8.0,16,8
Douglas Howell,Douglas Howell,BIB15000110,BIB15000110,,low,1,5.0,5,5
Thailand Board of Investment,Thailand Board of Investment,BIB10000486,BIB10000486,,low,1,2.0,2,2
Ashurst LLP,Ashurst LLP,BIB15000085,BIB15000085,,low,4,3.5,14,6
Caravel Management LLC,Caravel Management LLC,BIB12000260,BIB12000260,,low,1,1.0,1,1
"Tweedy, Browne Company LLC","Tweedy, Browne Company LLC",BIB10000432,BIB10000432,,low,1,5.0,5,5
"Fedcap Rehabilitation Services, Inc.","Fedcap Rehabilitation Services, Inc.",BIB15000211,BIB15000211,,low,2,3.0,6,3
United Nations,United Nations,BIB10000367,BIB10000367,,medium,1,40.0,40,40
Zielger Capital Markets,Zielger Capital Markets,BIB10000428,BIB10000428,,low,3,4.0,12,4
Music Theatre International,Music Theatre International,BIB17000147,BIB17000147,,low,2,4.0,8,4
kim McMillin,kim McMillin,BIB15000005,BIB15000005,,low,1,2.0,2,2
Perella Weinberg Partners,Perella Weinberg Partners,BIB12000080,BIB12000080,,low,2,20.0,40,20
Integrative Nutrition Inc,Integrative Nutrition Inc,BIB12000090,BIB12000090,,low,2,20.0,40,20
Carabba Locke LLP,Carabba Locke LLP,BIB11000161,BIB11000161,,low,3,1.0,3,1
Kelly Services,Kelly Services,BIB10000328,BIB10000328,,low,1,4.0,4,4
GLG Inc.,GLG Inc.,BIB10000514,BIB10000514,,low,1,2.0,2,2
Deanco Digital Printing,Deanco Digital Printing,BIB12000156,BIB12000156,,low,2,1.0,2,1
"The British Consulate-General, New York","The British Consulate-General, New York",BIB14000125,BIB14000125,,low,1,20.0,20,20
Langan Engineering & Environmental Services,Langan Engineering & Environmental Services,BIB12000214,BIB12000214,,low,1,8.0,8,8
Fusion Academy,Fusion Academy,BIB14000209,BIB14000209,,low,1,20.0,20,20
Test,Test,BIB14000265,BIB14000265,2,low,1,3.0,3,3
World Food Programme,World Food Programme,BIB16000052,BIB16000052,,low,2,2.0,4,2
Vanke Operations USA LLC,Vanke Operations USA LLC,BIB17000008,BIB17000008,,low,2,10.0,20,10
John Jay College of Criminal Justice-CUNY,John Jay College of Criminal Justice-CUNY,BIB09000030,BIB09000030,,low,1,10.0,10,10
Heraeus,Heraeus,BIB10000646,BIB10000646,,low,1,4.0,4,4
Grey Global Group,Grey Global Group,BIB15000044,BIB15000044,,medium,2,25.0,50,25
GlobalSource Partners,GlobalSource Partners,BIB10000098,BIB10000098,OPERATOR,low,1,1.0,1,1
"Arnold & Porter Kaye Scholer, LLP","Arnold & Porter Kaye Scholer, LLP",BIB17000016,BIB17000016,,low,2,4.0,8,4
EMI Music,EMI Music,BIB10000264,BIB10000264,,low,2,20.0,40,20
Kriss & Feuerstein LLP,Kriss & Feuerstein LLP,BIB17000089,BIB17000089,,low,1,1.0,1,1
Andre Poehlker,Andre Poehlker,BIB10000114,BIB10000114,,low,1,1.0,1,1
government kingdom of the netherlands,government kingdom of the netherlands,BIB10000405,BIB10000405,,low,1,2.0,2,2
"WW 205 E 42nd St Tenant, LLC","WW 205 E 42nd St Tenant, LLC",BIB15000075,BIB15000075,,low,2,10.0,20,10
"Millhouse Peck Properties, LLC","Millhouse Peck Properties, LLC",BIB15000024,BIB15000024,,low,5,6.0,30,6
United Nations,United Nations,BIB10000367,BIB10000367,,low,1,6.0,6,6
Condenast,Condenast,BIB12000137,BIB12000137,,low,1,1.0,1,1
Offerpop Corporation,Offerpop Corporation,BIB14000273,BIB14000273,,low,1,10.0,10,10
Swann Galleries,Swann Galleries,BIB18000076,BIB18000076,,low,1,3.0,3,3
Firmenich,Firmenich,BIB10000205,BIB10000205,,low,1,1.0,1,1
Sanford Wittels & Heisler,Sanford Wittels & Heisler,BIB12000144,BIB12000144,,low,6,1.0,6,1
