location_name,borough_name,wireline_up,wifi_dwn,technology_related_courses,digital_literacy,job_readiness_ex_resume_help
Harry Belafonte 115th Street Library,Manhattan,1000.0,1000.0,Y,N,Y
Saint Nicholas Social Club,Manhattan,420.2,420.2,Y,Y,N
SAGE Center Harlem,Manhattan,227.5,511.4,Y,N,N
High Bridge Library,Bronx,1000.0,1000.0,Y,N,Y
Sue Ginsburg Older Adult Center,Bronx,80.0,91.0,Y,N,N
Melrose Mott Haven Neighborhood Senior Center,Bronx,45.1,84.7,Y,Y,N
North Forest Park Library,Queens,500.0,24.4,Y,N,N
Broad Channel Library,Queens,500.0,24.4,Y,N,N
South Jamaica Cornerstone Community Center,Queens,293.9,10.4,Y,N,N
McCarren Media Lab,Brooklyn,160.8,103.6,Y,N,N
Scheuer House of Coney Island Older Adult Center,Brooklyn,60.0,92.1,Y,Y,N
Cypress Hills Adult Social Club,Brooklyn,30.4,416.6,Y,N,N
