queens_condominium_property_neighborhood,queens_condominium_property_market_value_per_sqft,queens_condominium_property_year_built,queens_condominium_property_building_classification,queens_condominium_property_est_gross_income,queens_condominium_property_gross_income_per_sqft,queens_condominium_property_full_market_value,rank,dense_rank
BRIARWOOD,51.0,1990,R4-ELEVATOR,285000,15.0,963997,2,1
FLUSHING-NORTH,75.0,1997,R4-ELEVATOR,324896,20.1,1209997,1,2
COLLEGE POINT,87.0,2002,R4-ELEVATOR,633885,21.0,2640005,1,3
LONG ISLAND CITY,104.0,2005,R4-ELEVATOR,648450,25.0,2689999,1,4
REGO PARK,43.6,1941,R4-ELEVATOR,928536,14.0,2890006,1,5
FLUSHING-NORTH,49.1,1937,R4-ELEVATOR,1232500,14.5,4170003,5,6
FLUSHING-NORTH,71.0,1987,R4-ELEVATOR,1373700,19.0,5139997,2,7
FLUSHING-NORTH,67.0,1983,R4-ELEVATOR,1829232,18.0,6839985,3,8
ELMHURST,67.0,1989,R4-ELEVATOR,2357640,18.0,8819997,1,9
BRIARWOOD,63.0,1966,R9-CONDOPS,3288946,16.75,12300000,1,1
ELMHURST,42.0,1961,R9-CONDOPS,4080186,13.5,12700000,3,2
ELMHURST,43.6,1988,R2-WALK-UP,177548,14.0,553001,2,1
WOODSIDE,65.0,1986,R2-WALK-UP,273577,17.5,1019998,1,2
CORONA,91.0,2005,R2-WALK-UP,294000,21.0,1280000,1,3
FLUSHING-NORTH,51.0,1982,R2-WALK-UP,702000,15.0,2370020,4,4
HOWARD BEACH,49.0,1977,R2-WALK-UP,759800,14.5,2570000,1,5
