project_id,building_count,house_number,house_number,prevailing_wage_status,total_units
75421,10,119,119,Non Prevailing Wage,1
75173,3,3472,3472,Non Prevailing Wage,14
71989,1,6,6,Non Prevailing Wage,8
75421,2,123,123,Non Prevailing Wage,122
75173,4,3472,3472,Non Prevailing Wage,9
75173,3,3474,3474,Non Prevailing Wage,8
76710,1,180,180,Non Prevailing Wage,50
72943,1,1806,1806,Non Prevailing Wage,111
55080,1,635,635,Non Prevailing Wage,8
74488,1,125,125,Non Prevailing Wage,19
75173,6,3475,3475,Non Prevailing Wage,12
75173,3,3474,3474,Non Prevailing Wage,13
75173,1,3472,3472,Non Prevailing Wage,15
76097,1,1450,1450,Non Prevailing Wage,98
65412,3,303,303,Non Prevailing Wage,4
74296,1,2185,2185,Non Prevailing Wage,48
75173,6,3438,3438,Non Prevailing Wage,8
76333,1,2040,2040,Non Prevailing Wage,24
75173,3,3455,3455,Non Prevailing Wage,14
75173,4,3455,3455,Non Prevailing Wage,9
75173,12,3439,3439,Non Prevailing Wage,12
75173,6,3438,3438,Non Prevailing Wage,13
75173,1,3458,3458,Non Prevailing Wage,15
76408,1,1305,1305,Non Prevailing Wage,8
77170,1,2013,2013,Non Prevailing Wage,56
75173,3,3455,3455,Non Prevailing Wage,8
75729,1,670,670,Non Prevailing Wage,6
75729,1,219,219,Non Prevailing Wage,6
75173,6,3438,3438,Non Prevailing Wage,14
75173,3,3455,3455,Non Prevailing Wage,13
75173,8,3438,3438,Non Prevailing Wage,9
75421,10,123,123,Non Prevailing Wage,1
75173,3,3472,3472,Non Prevailing Wage,8
47863,1,390,390,Non Prevailing Wage,42
75173,10,3475,3475,Non Prevailing Wage,10
75421,2,119,119,Non Prevailing Wage,122
75173,3,3472,3472,Non Prevailing Wage,13
75173,1,3474,3474,Non Prevailing Wage,15
76431,1,1644,1644,Non Prevailing Wage,36
75421,10,33,33,Non Prevailing Wage,1
75173,10,3455,3455,Non Prevailing Wage,10
75421,2,29,29,Non Prevailing Wage,122
76413,1,2769,2769,Non Prevailing Wage,44
74488,1,123,123,Non Prevailing Wage,19
75173,3,3475,3475,Non Prevailing Wage,8
77034,1,130,130,Non Prevailing Wage,75
76321,1,22-25,22-25,Non Prevailing Wage,26
74974,1,51,51,Non Prevailing Wage,219
73316,1,1129,1129,Non Prevailing Wage,11
75173,10,3472,3472,Non Prevailing Wage,10
75173,6,3474,3474,Non Prevailing Wage,12
75173,3,3475,3475,Non Prevailing Wage,13
75421,10,55,55,Non Prevailing Wage,1
74737,1,1011,1011,Non Prevailing Wage,169
75421,10,59,59,Non Prevailing Wage,1
75173,3,3458,3458,Non Prevailing Wage,14
75173,4,3458,3458,Non Prevailing Wage,9
75173,1,3455,3455,Non Prevailing Wage,15
74488,1,125,125,Non Prevailing Wage,10
77134,1,153,153,Non Prevailing Wage,9
75729,1,670,670,Non Prevailing Wage,8
75729,1,219,219,Non Prevailing Wage,8
75173,10,3474,3474,Non Prevailing Wage,10
75173,6,3472,3472,Non Prevailing Wage,12
75173,1,3475,3475,Non Prevailing Wage,15
77145,1,29-05A,29-05A,Non Prevailing Wage,63
77185,1,27-19,27-19,Non Prevailing Wage,34
75421,10,29,29,Non Prevailing Wage,1
74483,1,1581,1581,Non Prevailing Wage,46
74737,1,1011,1011,Non Prevailing Wage,107
47863,1,390,390,Non Prevailing Wage,22
75173,6,3458,3458,Non Prevailing Wage,12
75421,2,33,33,Non Prevailing Wage,122
75173,20,3438,3438,Non Prevailing Wage,10
75173,2,3439,3439,Non Prevailing Wage,15
71989,1,6,6,Non Prevailing Wage,3
73316,1,1129,1129,Non Prevailing Wage,5
75173,6,3439,3439,Non Prevailing Wage,8
75173,10,3458,3458,Non Prevailing Wage,10
74483,3,1581,1581,Non Prevailing Wage,15
71989,1,6,6,Non Prevailing Wage,6
75173,12,3438,3438,Non Prevailing Wage,12
75173,6,3439,3439,Non Prevailing Wage,13
76341,1,23-10,23-10,Non Prevailing Wage,240
77143,1,21-07,21-07,Non Prevailing Wage,68
75173,3,3475,3475,Non Prevailing Wage,14
75173,4,3475,3475,Non Prevailing Wage,9
74483,1,1581,1581,Non Prevailing Wage,48
75173,3,3458,3458,Non Prevailing Wage,8
77028,1,256,256,Non Prevailing Wage,42
74483,2,1581,1581,Non Prevailing Wage,20
75421,2,55,55,Non Prevailing Wage,122
75421,2,59,59,Non Prevailing Wage,122
75173,20,3439,3439,Non Prevailing Wage,10
75173,3,3458,3458,Non Prevailing Wage,13
75173,2,3438,3438,Non Prevailing Wage,15
76728,1,131,131,Non Prevailing Wage,73
75173,6,3439,3439,Non Prevailing Wage,14
75173,6,3455,3455,Non Prevailing Wage,12
75173,8,3439,3439,Non Prevailing Wage,9
76302,1,633,633,Non Prevailing Wage,25
75729,1,670,670,Non Prevailing Wage,4
75729,1,219,219,Non Prevailing Wage,4
75173,3,3474,3474,Non Prevailing Wage,14
75173,4,3474,3474,Non Prevailing Wage,9
74488,1,123,123,Non Prevailing Wage,10
