location_code,location_name,borough,t3_location_code,category,count,avg_value,total_value,max_value
K670,Benjamin Banneker Academy,K,K670,Medium property incidents,1,0.75,0.75,0.75
K041,P.S. 041 Francis White,K,K041,Medium property incidents,1,0.63,0.63,0.63
K179,P.S. 179 Kensington,K,K179,Medium property incidents,1,0.63,0.63,0.63
M094,P.S. M094,M,M094,Medium property incidents,3,0.75,2.25,0.75
K738,New Visions Charter High School for Advanced Math,K,K738,Low property incidents,4,,,
K012,430 HOWARD AVENUE CONSOLIDATED LOCATION,K,K012,Medium property incidents,2,0.63,1.26,0.63
K373,P.S. 373 - Brooklyn Transition Center,K,K373,Low property incidents,1,,,
K285,I.S. 285 Meyer Levin,K,K285,Medium property incidents,1,0.63,0.63,0.63
X368,In-Tech Academy (M.S. / High School 368),X,X368,Low property incidents,1,,,
K405,Midwood High School,K,K405,High property incidents,1,2.55,2.55,2.55
M079,P.S. M079 - Horan School,M,M079,Medium property incidents,1,0.75,0.75,0.75
K414,325 SOUTH  3 STREET CONSOLIDATED LOCATION,K,K414,Medium property incidents,1,0.75,0.75,0.75
M539,"New Explorations into Science, Technology and Math",M,M539,Medium property incidents,1,0.75,0.75,0.75
X377,Bronx Community High School,X,X377,Low property incidents,1,,,
Q014,P.S. 014 Fairview,Q,Q014,High property incidents,1,1.39,1.39,1.39
K104,P.S./I.S. 104 The Fort Hamilton School,K,K104,High property incidents,1,1.72,1.72,1.72
K628,Brooklyn Brownstone School,K,K628,Low property incidents,1,,,
M408,Professional Performing Arts High School,M,M408,Low property incidents,4,,,
K580,105 TECH PLACE CONSOLIDATED LOCATION,K,K580,Low property incidents,4,,,
K223,4200 16 AVENUE CONSOLIDATED LOCATION,K,K223,Low property incidents,3,,,
M212,P.S. 212 Midtown West,M,M212,Medium property incidents,4,0.51,2.04,0.51
K147,P.S. 147 Isaac Remsen,K,K147,Medium property incidents,3,0.75,2.25,0.75
K195,P.S. 195 Manhattan Beach,K,K195,Medium property incidents,1,0.75,0.75,0.75
M158,P.S. 158 Bayard Taylor,M,M158,Medium property incidents,2,0.63,1.26,0.63
M084,32 WEST  92 STREET CONSOLIDATED LOCATION,M,M084,Low property incidents,4,,,
K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,K,K366,Medium property incidents,1,0.63,0.63,0.63
K674,"City Polytechnic High School of Engineering, Archi",K,K674,Low property incidents,4,,,
M047,223 EAST 23 STREET CONSOLIDATED LOCATION,M,M047,Low property incidents,1,,,
M084,P.S. 084 Lillian Weber,M,M084,Low property incidents,4,,,
K243,P.S. 243K- The Weeksville School,K,K243,Medium property incidents,1,0.51,0.51,0.51
M042,P.S. 042 Benjamin Altman,M,M042,Medium property incidents,1,0.75,0.75,0.75
K284,P.S. 284 Lew Wallace,K,K284,Medium property incidents,1,0.98,0.98,0.98
M084,32 WEST  92 STREET CONSOLIDATED LOCATION,M,M084,Medium property incidents,4,0.98,3.92,0.98
X434,Belmont Preparatory High School,X,X434,High property incidents,1,3.63,3.63,3.63
Q008,108-35 167 STREET CONSOLIDATED LOCATION,Q,Q008,High property incidents,1,2.55,2.55,2.55
M452,P.S. 452,M,M452,Low property incidents,2,,,
K712,EXCELLENCE GIRLS CHARTER SCHOOL(BN),K,K712,Low property incidents,1,,,
K553,Brooklyn Academy High School,K,K553,Medium property incidents,2,0.98,1.96,0.98
K630,Professional Pathways High School,K,K630,Low property incidents,4,,,
K455,1700 FULTON STREET CONSOLIDATED LOCATION,K,K455,Low property incidents,2,,,
Q176,P.S. 176 Cambria Heights,Q,Q176,Medium property incidents,1,0.98,0.98,0.98
M234,P.S. 234 Independence School,M,M234,Low property incidents,1,,,
X600,333 EAST 151 STREET CONSOLIDATED LOCATION,X,X600,Low property incidents,1,,,
M194,P.S. 194 Countee Cullen,M,M194,Low property incidents,1,,,
M149,34 WEST 118 STREET,M,M149,Medium property incidents,1,0.63,0.63,0.63
M223,The Mott Hall School,M,M223,Low property incidents,1,,,
R021,P.S. 21 Margaret Emery-Elm Park,R,R021,Medium property incidents,1,0.75,0.75,0.75
K078,J.H.S. 078 Roy H. Mann,K,K078,Low property incidents,2,,,
K031,P.S. 031 Samuel F. Dupont,K,K031,Medium property incidents,1,0.75,0.75,0.75
K420,999 JAMAICA AVENUE CONSOLIDATED LOCATION,K,K420,Low property incidents,2,,,
K301,Satellite East Middle School,K,K301,Medium property incidents,1,0.63,0.63,0.63
M084,P.S. 084 Lillian Weber,M,M084,Medium property incidents,4,0.98,3.92,0.98
