status_descriptions,school_support_team_name,location_category_description,field_support_center_name,field_support_center_leader,fiscal_year,total,count,average
Open,School Support Team 2- Affinity Group,High school,Affinity Group,,2019,10589500371920,33,320893950664.24243
Open,,Elementary,,,2019,1915205166246,6,319200861041.0
Open,School Support Team 7- Manhattan,Elementary,Field Support Center - Manhattan,"CHU, YUET",2019,931800030421,3,310600010140.3333
Open,School Support Team 2- Manhattan,High school,Field Support Center - Manhattan,"CHU, YUET",2019,930900034464,3,310300011488.0
Open,School Support Team 1- Manhattan,High school,Field Support Center - Manhattan,"CHU, YUET",2019,930500033284,3,310166677761.3333
Open,School Support Team 1- Brooklyn South,High school,Field Support Center - Brooklyn South,Mauriciere de Govia,2019,663600023200,2,331800011600.0
Open,School Support Team 3- Brooklyn South,Elementary,Field Support Center - Brooklyn South,Mauriciere de Govia,2019,663600020391,2,331800010195.5
Open,School Support Team 3- Bronx,Elementary,Field Support Center - Bronx,"SAFFER, NANCY",2019,642000020314,2,321000010157.0
Open,School Support Team 4- Bronx,Junior High-Intermediate-Middle,Field Support Center - Bronx,"SAFFER, NANCY",2019,642000020160,2,321000010080.0
Open,,K-12 all grades,,,2019,641901721854,2,320950860927.0
Open,School Support Team 1- Bronx,Secondary School,Field Support Center - Bronx,"SAFFER, NANCY",2019,641600022571,2,320800011285.5
Open,School Support Team 7- Bronx,Junior High-Intermediate-Middle,Field Support Center - Bronx,"SAFFER, NANCY",2019,641600020872,2,320800010436.0
Open,School Support Team 6- Brooklyn North,Junior High-Intermediate-Middle,Field Support Center - Brooklyn North,,2019,331900010218,1,331900010218.0
Open,School Support Team 3- Brooklyn South,Junior High-Intermediate-Middle,Field Support Center - Brooklyn South,Mauriciere de Govia,2019,331800010366,1,331800010366.0
Open,School Support Team 2- Brooklyn South,K-8,Field Support Center - Brooklyn South,Mauriciere de Govia,2019,331700010181,1,331700010181.0
Open,School Support Team 7- Brooklyn North,Elementary,Field Support Center - Brooklyn North,,2019,331600010025,1,331600010025.0
Open,School Support Team 5- Brooklyn North,Elementary,Field Support Center - Brooklyn North,,2019,331500010024,1,331500010024.0
Open,School Support Team 9- Bronx,K-8,Field Support Center - Bronx,"SAFFER, NANCY",2019,321100010019,1,321100010019.0
Open,School Support Team 1- Bronx,High school,Field Support Center - Bronx,"SAFFER, NANCY",2019,321000011440,1,321000011440.0
Open,School Support Team 8- Bronx,Elementary,Field Support Center - Bronx,"SAFFER, NANCY",2019,320900010114,1,320900010114.0
Open,School Support Team 1- Affinity Group,High school,Affinity Group,,2019,320700011259,1,320700011259.0
Open,School Support Team 6- Bronx,Secondary School,Field Support Center - Bronx,"SAFFER, NANCY",2019,320700010223,1,320700010223.0
Open,School Support Team 6- Bronx,Elementary,Field Support Center - Bronx,"SAFFER, NANCY",2019,320700010043,1,320700010043.0
Open,School Support Team 5- Manhattan,K-8,Field Support Center - Manhattan,"CHU, YUET",2019,310500010123,1,310500010123.0
Open,School Support Team 6- Manhattan,Junior High-Intermediate-Middle,Field Support Center - Manhattan,"CHU, YUET",2019,310400010377,1,310400010377.0
Open,School Support Team 6- Manhattan,Elementary,Field Support Center - Manhattan,"CHU, YUET",2019,310400010155,1,310400010155.0
Open,School Support Team 4- Manhattan,Junior High-Intermediate-Middle,Field Support Center - Manhattan,"CHU, YUET",2019,310200010167,1,310200010167.0
Open,School Support Team 4- Manhattan,Elementary,Field Support Center - Manhattan,"CHU, YUET",2019,310200010077,1,310200010077.0
Open,School Support Team 5- Affinity Group,High school,Affinity Group,,2019,310100011458,1,310100011458.0
Open,School Support Team 3- Manhattan,Junior High-Intermediate-Middle,Field Support Center - Manhattan,"CHU, YUET",2019,310100010839,1,310100010839.0
Open,School Support Team 3- Manhattan,K-8,Field Support Center - Manhattan,"CHU, YUET",2019,310100010140,1,310100010140.0
Open,Children First Network 751,K-12 all grades,D75 CITYWIDE FSC,Tillman Roberto,2019,307500011138,1,307500011138.0
