dbn,bn,total_programs
05M304,M304,1
02M419,M419,1
11X508,X508,1
14K558,K558,1
16K393,K393,1
29Q283,Q283,1
21K540,K540,8
06M463,M463,1
20K445,K445,8
14K071,K071,4
19K618,K618,1
10X565,X565,1
11X455,X455,7
31R064,R064,1
29Q248,Q248,1
31R600,R600,6
24Q520,Q520,1
30Q258,Q258,1
09X260,X260,1
07X334,X334,1
28Q896,Q896,1
