descriptor,intersection_street_2,location_type,complaint_type,category,count,avg_value,total_value,max_value
Parking Permit Improper Use,37 AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1019566.0,1019566,1019566
Parking Permit Improper Use,HOBART AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1030679.0,1030679,1030679
Parking Permit Improper Use,MANHATTAN AVENUE,Street/Sidewalk,Illegal Parking,Medium X Coordinate,400,997282.0,398912800,997282
Parking Permit Improper Use,35 AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,3,1028981.3333333334,3086944,1040626
Parking Permit Improper Use,JUDGE STREET,Street/Sidewalk,Illegal Parking,High X Coordinate,2,1017055.0,2034110,1017055
Parking Permit Improper Use,AVENUE P,Street/Sidewalk,Illegal Parking,Medium X Coordinate,1,988792.0,988792,988792
Parking Permit Improper Use,LEFFERTS AVENUE,Street/Sidewalk,Illegal Parking,Medium X Coordinate,1,994920.0,994920,994920
Parking Permit Improper Use,9 AVENUE,Street/Sidewalk,Illegal Parking,Medium X Coordinate,2,984257.0,1968514,984257
Parking Permit Improper Use,EUCLID AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1019773.0,1019773,1019773
Parking Permit Improper Use,ROOSEVELT AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1019872.0,1019872,1019872
Parking Permit Improper Use,FORT WASHINGTON AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1000872.0,1000872,1000872
Parking Permit Improper Use,NORFOLK STREET,Street/Sidewalk,Illegal Parking,Medium X Coordinate,1,987763.0,987763,987763
Parking Permit Improper Use,WILLIAMS AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,24,1011845.0,24284280,1011845
Parking Permit Improper Use,VERNON BOULEVARD,Street/Sidewalk,Illegal Parking,Medium X Coordinate,1920,996424.0,1913134080,996424
Parking Permit Improper Use,24 STREET,Street/Sidewalk,Illegal Parking,High X Coordinate,2,1001399.0,2002798,1001399
Parking Permit Improper Use,AVENUE Z,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1000109.0,1000109,1000109
Parking Permit Improper Use,118 AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1055045.0,1055045,1055045
Parking Permit Improper Use,EAST 47 STREET,Street/Sidewalk,Illegal Parking,Medium X Coordinate,1,990155.0,990155,990155
Parking Permit Improper Use,BEAVER STREET,Street/Sidewalk,Illegal Parking,Medium X Coordinate,4,980580.0,3922320,980580
Parking Permit Improper Use,RIDGEWOOD AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1018629.0,1018629,1018629
Parking Permit Improper Use,85 ROAD,Street/Sidewalk,Illegal Parking,High X Coordinate,2,1035018.0,2070036,1035018
Parking Permit Improper Use,HIGH LINE,Street/Sidewalk,Illegal Parking,Medium X Coordinate,2,983929.0,1967858,983929
Parking Permit Improper Use,143 STREET,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1039132.0,1039132,1039132
Parking Permit Improper Use,ROCKEFELLER PLAZA,Street/Sidewalk,Illegal Parking,Medium X Coordinate,1,990040.0,990040,990040
Parking Permit Improper Use,MYRTLE AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1008097.0,1008097,1008097
Parking Permit Improper Use,ST NICHOLAS AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1007940.0,1007940,1007940
Parking Permit Improper Use,14 ROAD,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1025680.0,1025680,1025680
Parking Permit Improper Use,92 STREET,Street/Sidewalk,Illegal Parking,Medium X Coordinate,2,976445.0,1952890,976445
Parking Permit Improper Use,6 AVENUE,Street/Sidewalk,Illegal Parking,Medium X Coordinate,4,977748.0,3910992,977748
Parking Permit Improper Use,72 AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,630,1036658.0,653094540,1036658
Parking Permit Improper Use,41 AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1014415.0,1014415,1014415
Parking Permit Improper Use,EAST172 STREET,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1018074.0,1018074,1018074
Parking Permit Improper Use,PARK AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1010321.0,1010321,1010321
Parking Permit Improper Use,WEST230 STREET,Street/Sidewalk,Illegal Parking,High X Coordinate,3,1011177.0,3033531,1011177
Parking Permit Improper Use,169 STREET,Street/Sidewalk,Illegal Parking,High X Coordinate,2640,1039667.0,2744720880,1039667
Parking Permit Improper Use,CARLTON AVENUE,Street/Sidewalk,Illegal Parking,Medium X Coordinate,2,991587.5,1983175,991604
Parking Permit Improper Use,102 STREET,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1021161.0,1021161,1021161
Parking Permit Improper Use,EAST 7 STREET,Street/Sidewalk,Illegal Parking,Medium X Coordinate,1,991021.0,991021,991021
Parking Permit Improper Use,16 AVENUE,Street/Sidewalk,Illegal Parking,Medium X Coordinate,1,981886.0,981886,981886
Parking Permit Improper Use,BORDEN AVENUE,Street/Sidewalk,Illegal Parking,High X Coordinate,1,1010450.0,1010450,1010450
Parking Permit Improper Use,EAST 67 STREET,Street/Sidewalk,Illegal Parking,Medium X Coordinate,1,994053.0,994053,994053
