plate_id,plate_id,registration_state,issue_date,issuer_squad,violation_legal_code,date_first_observed,total_law_section
M51PUV,M51PUV,NJ,2022-06-19 00:00:00,0.0,,0,816
KKC3044,KKC3044,NY,2022-06-23 00:00:00,0.0,,0,408
KLA6711,KLA6711,NY,2022-06-24 00:00:00,0.0,,0,408
KSD3888,KSD3888,NY,2022-06-16 00:00:00,0.0,,0,408
JMD4273,JMD4273,NY,2022-07-01 00:00:00,0.0,,0,408
JHJ2036,JHJ2036,NY,2022-06-17 00:00:00,0.0,,0,408
KVG5372,KVG5372,NY,2022-06-27 00:00:00,0.0,,0,408
KNU8782,KNU8782,NY,2022-06-21 00:00:00,0.0,,0,816
HUW3790,HUW3790,NY,2022-07-02 00:00:00,0.0,,0,408
JPH6683,JPH6683,NY,2022-06-24 00:00:00,0.0,,0,816
KSJ1604,KSJ1604,NY,2022-06-22 00:00:00,0.0,,0,1224
KGM9439,KGM9439,NY,2022-06-16 00:00:00,0.0,,0,408
KNZ2527,KNZ2527,99,2022-06-21 00:00:00,0.0,,0,408
KUJ9677,KUJ9677,NY,2022-07-06 00:00:00,0.0,,0,408
KNE2282,KNE2282,NY,2022-07-05 00:00:00,0.0,,0,816
KVC8483,KVC8483,NY,2022-06-10 00:00:00,0.0,,0,408
G9868J,G9868J,FL,2022-07-02 00:00:00,0.0,,0,816
KJC9372,KJC9372,NY,2022-06-26 00:00:00,0.0,,0,408
JER1863,JER1863,NY,2022-06-10 00:00:00,0.0,,0,816
KFR4322,KFR4322,NY,2022-06-05 00:00:00,0.0,,0,408
KE19407,KE19407,99,2022-07-04 00:00:00,0.0,,0,408
KVT2855,KVT2855,NY,2022-06-27 00:00:00,0.0,,0,408
GQH7507,GQH7507,OH,2022-06-21 00:00:00,0.0,,0,816
HCR4935,HCR4935,NY,2022-06-15 00:00:00,0.0,,0,408
HNN6536,HNN6536,NY,2022-06-22 00:00:00,0.0,,0,816
JSC9890,JSC9890,NY,2022-06-28 00:00:00,0.0,,0,408
HJP6180,HJP6180,NY,2022-06-01 00:00:00,0.0,,0,408
KNV1564,KNV1564,NY,2022-06-26 00:00:00,0.0,,0,408
HMY4993,HMY4993,NY,2022-06-20 00:00:00,0.0,,0,408
KKL6583,KKL6583,NY,2022-06-26 00:00:00,0.0,,0,408
KNB7335,KNB7335,NY,2022-06-15 00:00:00,0.0,,0,408
KSX5809,KSX5809,99,2022-06-16 00:00:00,0.0,,0,816
KVC6253,KVC6253,NY,2022-07-07 00:00:00,0.0,,0,816
JPN2824,JPN2824,NY,2022-06-05 00:00:00,0.0,,0,408
KRN2447,KRN2447,NY,2022-06-21 00:00:00,0.0,,0,408
KSB7027,KSB7027,NY,2022-06-05 00:00:00,0.0,,0,816
KSB6460,KSB6460,NY,2022-07-03 00:00:00,0.0,,0,408
KTX3183,KTX3183,NY,2022-07-07 00:00:00,0.0,,0,408
KEP9921,KEP9921,NY,2022-06-30 00:00:00,0.0,,0,816
KEX2744,KEX2744,NY,2022-06-30 00:00:00,0.0,,0,408
JKW7174,JKW7174,NY,2022-06-14 00:00:00,0.0,,0,408
KOJOB,KOJOB,NY,2022-06-26 00:00:00,0.0,,0,816
KTJ4917,KTJ4917,NY,2022-06-24 00:00:00,0.0,,0,408
HIX6511,HIX6511,NY,2000-05-22 00:00:00,0.0,,0,408
KFL2006,KFL2006,NY,2022-07-01 00:00:00,0.0,,20220608,816
GCN3785,GCN3785,NY,2022-06-15 00:00:00,0.0,,0,408
KFL2006,KFL2006,NY,2022-07-01 00:00:00,0.0,,0,3264
JEH4647,JEH4647,NY,2022-06-08 00:00:00,0.0,,20220608,408
KVT3908,KVT3908,99,2022-06-24 00:00:00,0.0,,0,408
JEH4647,JEH4647,NY,2022-06-08 00:00:00,0.0,,0,1632
KWG8669,KWG8669,NY,2022-06-30 00:00:00,0.0,,0,408
