name,neighborhood,gradespan,othersports,total,count,average
Hudson River Middle School,Battery Park,6-8,,100.0,1,100.0
The Anderson School,Upper West Side,K-8,,100.0,1,100.0
Creston Academy,Tremont,6-8,"Baseball, Basketball, Flag Football, Softball, Volleyball",99.0,1,99.0
Creston Academy,Tremont,6-8,"Basketball, Running Club, Step",99.0,1,99.0
Yorkville East Middle School,Upper East Side,6-8,"Baseball, Basketball, Cheerleading, Cross Country, Fitness Club, Running Club, Soccer, Softball, Step, Volleyball",99.0,1,99.0
Ella Baker School,Upper East Side,PK-8,,99.0,1,99.0
Accion Academy,South Bronx,6-8,,97.0,1,97.0
Columbia Secondary School,Morningside Heights,6-12,,95.0,1,95.0
Bronx Green Middle School,Williamsbridge,6-8,"Basketball, Boxing, Cheerleading, Running Club",93.0,1,93.0
M.S. 324 - Patria Mirabal,Washington Heights,6-8,"Baseball, Basketball, Cheerleading, Dance, Flag Football, Soccer, Softball, Track and Field, Volleyball",92.0,1,92.0
M.S. 224 Manhattan East School for Arts & Academics,East Harlem,6-8,"Basketball, Dance, Flag Football, Soccer",92.0,1,92.0
Soundview Academy for Culture and Scholarship,Soundview,6-8,"Baseball, Basketball, Cheerleading, Dance, Double Dutch, Step, Track and Field, Volleyball",91.0,1,91.0
P.S. 121 Nelson A. Rockefeller,Ocean Parkway,K-8,Field Day,91.0,1,91.0
P.S./I.S. 116 William C. Hughley,Jamaica,PK-8,Basketball,90.0,1,90.0
I.S. 254,Belmont,6-8,"Baseball, Basketball",87.0,1,87.0
P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,Bedford Stuyvesant,PK-8,"Basketball, Dance, Step",86.0,1,86.0
The Riverside School for Makers and Artists,Upper West Side,PK-8,,86.0,1,86.0
New Design Middle School,Manhattanville,6-8,"Basketball, Dance, Fitness Club, Flag Football, Soccer, Volleyball",82.0,1,82.0
Central Park East II,East Harlem,PK-8,"Basketball, Dance, Flag Football, Running Club, Soccer, Step, Yoga",68.0,1,68.0
P.S./M.S. 147 Ronald McNair,Cambria Heights,PK-8,"Basketball, Flag Football, Tennis, Volleyball",57.99999999999999,1,57.99999999999999
Fannie Lou Hamer Middle School,South Bronx,6-8,Running Club,39.0,1,39.0
