location_name,location_code,prop_n,schools,avgofprop_n,avgofmajor_n,nocrim_n,school_year
EXCELLENCE GIRLS CHARTER SCHOOL(BN),K712,,2,,,,2016 - 17
Bronx Community High School,X377,,8,,,,2016 - 17
P.S./I.S. 104 The Fort Hamilton School,K104,0.0,1,1.72,0.64,4.0,2016 - 17
The Mott Hall School,M223,,3,,,,2016 - 17
Professional Performing Arts High School,M408,,2,,0.24,1.0,2016 - 17
Professional Performing Arts High School,M408,,2,,,1.0,2016 - 17
Professional Performing Arts High School,M408,,2,,0.24,,2016 - 17
P.S. 452,M452,,3,,,,2016 - 17
P.S. 452,M452,,3,,,,2016 - 17
108-35 167 STREET CONSOLIDATED LOCATION,Q008,2.0,1,2.55,0.9,4.0,2016 - 17
430 HOWARD AVENUE CONSOLIDATED LOCATION,K012,0.0,2,0.63,0.27,4.0,2016 - 17
430 HOWARD AVENUE CONSOLIDATED LOCATION,K012,0.0,2,0.63,,4.0,2016 - 17
P.S. 147 Isaac Remsen,K147,0.0,1,0.75,0.28,3.0,2016 - 17
P.S. 147 Isaac Remsen,K147,0.0,1,0.75,0.28,2.0,2016 - 17
P.S. 147 Isaac Remsen,K147,0.0,1,0.75,0.28,,2016 - 17
P.S. 373 - Brooklyn Transition Center,K373,,2,,,,2016 - 17
P.S. 014 Fairview,Q014,0.0,1,1.39,0.57,0.0,2016 - 17
In-Tech Academy (M.S. / High School 368),X368,,3,,,,2016 - 17
333 EAST 151 STREET CONSOLIDATED LOCATION,X600,,4,,,,2016 - 17
Professional Pathways High School,K630,,4,,,,2016 - 17
Professional Pathways High School,K630,,4,,,,2016 - 17
Professional Pathways High School,K630,,4,,,,2016 - 17
P.S. M094,M094,0.0,1,0.75,0.28,1.0,2016 - 17
P.S. M094,M094,0.0,1,0.75,0.28,0.0,2016 - 17
P.S. M094,M094,0.0,1,0.75,0.28,0.0,2016 - 17
P.S. 158 Bayard Taylor,M158,3.0,2,0.63,0.27,0.0,2016 - 17
P.S. 158 Bayard Taylor,M158,3.0,2,0.63,,0.0,2016 - 17
P.S. 284 Lew Wallace,K284,0.0,1,0.98,0.38,7.0,2016 - 17
Brooklyn Brownstone School,K628,,2,,,,2016 - 17
P.S. M079 - Horan School,M079,2.0,1,0.75,0.28,2.0,2016 - 17
34 WEST 118 STREET,M149,1.0,1,0.63,0.27,1.0,2016 - 17
P.S. 234 Independence School,M234,,3,,,,2016 - 17
P.S. 041 Francis White,K041,0.0,1,0.63,0.27,5.0,2016 - 17
P.S. 243K- The Weeksville School,K243,0.0,1,0.51,0.24,5.0,2016 - 17
P.S. 084 Lillian Weber,M084,1.0,2,,0.38,1.0,2016 - 17
32 WEST  92 STREET CONSOLIDATED LOCATION,M084,,2,,0.38,1.0,2016 - 17
P.S. 084 Lillian Weber,M084,1.0,2,,,1.0,2016 - 17
P.S. 212 Midtown West,M212,1.0,1,0.51,0.24,1.0,2016 - 17
P.S. 212 Midtown West,M212,1.0,1,0.51,,1.0,2016 - 17
P.S. 212 Midtown West,M212,1.0,1,0.51,0.24,,2016 - 17
I.S. 285 Meyer Levin,K285,0.0,1,0.63,0.27,1.0,2016 - 17
223 EAST 23 STREET CONSOLIDATED LOCATION,M047,,2,,,,2016 - 17
105 TECH PLACE CONSOLIDATED LOCATION,K580,,2,,,,2016 - 17
