location_name,administrative_district_name,grades_text,category,count,avg_value,total_value,max_value
Coney Island Preparatory Public Charter School,OFFICE OF CHARTER SCHOOLS,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",High District Code,2,84.0,168,84
Academy of Innovative Technology,,"09,10,11,12,SE",Mid District Code,1,19.0,19,19
Urban Assembly Institute of Math and Science for Y,,"06,07,08,09,10,11,12,SE",Mid District Code,1,13.0,13,13
Bedford Academy High School,,"09,10,11,12,SE",Mid District Code,1,13.0,13,13
Capital Preparatory (CP) Harlem Charter School,OFFICE OF CHARTER SCHOOLS,"06,07,08,09,10",High District Code,1,84.0,84,84
P.S. 132 Juan Pablo Duarte,COMMUNITY SCHOOL DISTRICT 06,"0K,01,02,03,04,05,SE",Low District Code,1,6.0,6,6
P.S. 139 Alexine A. Fenty,COMMUNITY SCHOOL DISTRICT 22,"PK,0K,01,02,03,04,05,SE",Mid District Code,1,22.0,22,22
P.S. 333 Manhattan School for Children,COMMUNITY SCHOOL DISTRICT 03,"0K,01,02,03,04,05,06,07,08,SE",Low District Code,1,3.0,3,3
P.S. 131 Brooklyn,COMMUNITY SCHOOL DISTRICT 15,"PK,0K,01,02,03,04,05,SE",Mid District Code,1,15.0,15,15
P.S. 149 Sojourner Truth,COMMUNITY SCHOOL DISTRICT 03,"PK,0K,01,02,03,04,05,06,07,08,SE",Low District Code,1,3.0,3,3
N.Y.C. Lab School for Collaborative Studies,,"09,10,11,12,SE",Low District Code,1,2.0,2,2
J.H.S. 050 John D. Wells,COMMUNITY SCHOOL DISTRICT 14,"06,07,08,SE",Mid District Code,1,14.0,14,14
KAPPA IV,COMMUNITY SCHOOL DISTRICT 05,"06,07,08,SE",Low District Code,1,5.0,5,5
P.S. 134 Henrietta Szold,COMMUNITY SCHOOL DISTRICT 01,"PK,0K,01,02,03,04,05,SE",Low District Code,1,1.0,1,1
Innovation Diploma Plus,,"10,11,12",Low District Code,1,3.0,3,3
Brooklyn High School for Law and Technology,,"09,10,11,12,SE",Mid District Code,1,16.0,16,16
IS 370m Learning Project Ms,COMMUNITY SCHOOL DISTRICT 01,,Low District Code,1,1.0,1,1
The Uft Charter School,OFFICE OF CHARTER SCHOOLS,"09,10,11,12,SE",High District Code,1,84.0,84,84
P.S. M169 - Robert F. Kennedy,CITYWIDE SPECIAL EDUCATION,"0K,01,02,03,04,05,06,07,08,10,11,12,SE",High District Code,1,75.0,75,75
Samuel J. Tilden High School,COMMUNITY SCHOOL DISTRICT 18,"10,11,12,SE",Mid District Code,1,18.0,18,18
Freedom Academy High School,COMMUNITY SCHOOL DISTRICT 13,"09,10,11,12,SE",Mid District Code,1,13.0,13,13
The Academy of Talented Scholars,COMMUNITY SCHOOL DISTRICT 20,"0K,01,02,03,04,05,SE",Mid District Code,1,20.0,20,20
P.S. 188 The Island School,COMMUNITY SCHOOL DISTRICT 01,"PK,0K,01,02,03,04,05,06,07,08,SE",Low District Code,1,1.0,1,1
P.S./I.S. 217 Roosevelt Island,COMMUNITY SCHOOL DISTRICT 02,"PK,0K,01,02,03,04,05,06,07,08",Low District Code,1,2.0,2,2
Riverdale Avenue Community School,COMMUNITY SCHOOL DISTRICT 23,"PK,0K,01,02,03,04,05,SE",Mid District Code,1,23.0,23,23
P.S. 747 A Great Start Academy,COMMUNITY SCHOOL DISTRICT 23,"0K,01,02,03,04,05,SE",Mid District Code,1,23.0,23,23
Success Academy Charter School - Bed Stuy 3,OFFICE OF CHARTER SCHOOLS,"05,06",High District Code,1,84.0,84,84
P.S. 151 Lyndon B. Johnson,COMMUNITY SCHOOL DISTRICT 32,"PK,0K,01,02,03,04,05,SE",High District Code,1,32.0,32,32
The International Charter School of New York,OFFICE OF CHARTER SCHOOLS,"0K,01,02,03,04,05",High District Code,1,84.0,84,84
Brooklyn Arts and Science Elementary School,COMMUNITY SCHOOL DISTRICT 17,"PK,0K,01,02,03,04,05,SE",Mid District Code,1,17.0,17,17
School of Science & Technology,COMMUNITY SCHOOL DISTRICT 22,"PK,0K,01,02,03,04,05,SE",Mid District Code,2,22.0,44,22
Wadleigh Secondary School for the Performing & Vis,,"06,07,08,09,10,11,12,SE",Low District Code,1,3.0,3,3
P.S. 399 Stanley Eugene Clark,COMMUNITY SCHOOL DISTRICT 17,"0K,01,02,03,04,05,SE",Mid District Code,1,17.0,17,17
Harlem Village Academy East Charter School,OFFICE OF CHARTER SCHOOLS,"0K,01,02,03,04,05,06,07,08,09,10,11,12",High District Code,1,84.0,84,84
M.S. 061 Dr. Gladstone H. Atwell,COMMUNITY SCHOOL DISTRICT 17,"06,07,08,SE",Mid District Code,1,17.0,17,17
Leadership Preparatory Brownsville Charter School,OFFICE OF CHARTER SCHOOLS,"0K,01,02,03,04,05,06,07,08",High District Code,1,84.0,84,84
Democracy Prep Endurance Charter School,OFFICE OF CHARTER SCHOOLS,"06,07,08,09,10,11,12",High District Code,1,84.0,84,84
Cypress Hills Collegiate Preparatory School,,"09,10,11,12,SE",Mid District Code,1,19.0,19,19
ACORN Community High School,,"09,10,11,12,SE",Mid District Code,1,13.0,13,13
P.S. 219 Kennedy-King,COMMUNITY SCHOOL DISTRICT 18,"PK,0K,01,02,03,04,05,SE",Mid District Code,1,18.0,18,18
Community Preparatory High School,ALTERNATIVE HIGH SCHOOL DISTRICT,,High District Code,1,79.0,79,79
Achievement First Bushwick Charter School,OFFICE OF CHARTER SCHOOLS,"0K,01,02,03,04,05,06,07,08,SE",High District Code,1,84.0,84,84
