city,service_taxonomy,serves_food,category,count,avg_value,total_value,max_value
long island city,"[""case management"",""individual advocacy"",""individual client outreach""]",False,Low Budget,1,,,
new york,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",False,Low Budget,1,,,
new york,"[""athletic leagues""]",False,Low Budget,15,,,
new york,,False,Low Budget,25,,,
bronx,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""work readiness"",""service/care planning"",""community engagement""]",False,Low Budget,2,,,
new york,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",False,Low Budget,2,,,
brooklyn,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",False,Low Budget,2,,,
staten island,"[""recreational services"",""arts and culture"",""mentoring""]",False,Low Budget,8,,,
brooklyn,"[""recreational services""]",False,Low Budget,2,,,
bronx,,False,Low Budget,9,,,
bronx,"[""recreational services""]",False,Low Budget,4,,,
bronx,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",False,Low Budget,2,,,
new york,"[""restitution collections""]",False,Low Budget,4,,,
bronx,"[""recreational services"",""arts and culture"",""mentoring""]",False,Low Budget,8,,,
new york,,False,High Budget,2,792556.53,1585113.06,792556.53
staten island,"[""recreational services""]",False,Low Budget,4,,,
brooklyn,"[""athletic leagues""]",False,Low Budget,15,,,
brooklyn,"[""outreach"",""community advocacy"",""training"",""legal services""]",False,Low Budget,1,,,
far rockaway,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",False,Low Budget,1,,,
brooklyn,"[""outreach"",""community advocacy"",""community engagement"",""supportive services""]",False,Low Budget,2,,,
bronx,"[""athletic leagues""]",False,Low Budget,30,,,
brooklyn,,False,Low Budget,8,,,
staten island,"[""athletic leagues""]",False,Low Budget,30,,,
jamaica,,False,Low Budget,2,,,
ozone park,,False,Low Budget,1,,,
brooklyn,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",False,Low Budget,1,,,
brooklyn,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",False,Low Budget,2,,,
bronx,"[""outreach"",""conflict resolution/mediation"",""client referrals"",""counseling"",""mentoring"",""leadership development"",""recreational services""]",False,Low Budget,2,,,
new york,"[""recreational services"",""arts and culture"",""mentoring""]",False,Low Budget,4,,,
new york,"[""recreational services""]",False,Low Budget,2,,,
brooklyn,"[""recreational services"",""arts and culture"",""mentoring""]",False,Low Budget,4,,,
bronx,,False,Medium Budget,1,129400.0,129400.0,129400.0
flushing,,False,Low Budget,1,,,
new york,"[""case management"",""individual advocacy"",""individual client outreach""]",False,Low Budget,2,,,
staten island,,False,Low Budget,1,,,
new york,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",False,Low Budget,2,,,
bronx,"[""client evaluation/assessment"",""case conferencing"",""intake"",""individual advocacy"",""counseling"",""crisis intervention/management"",""mental health services""]",False,Low Budget,2,,,
bronx,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",False,Low Budget,2,,,
bronx,"[""emergency preparedness and response"",""client evaluation/assessment"",""intake"",""preventive services""]",False,Low Budget,6,,,
brooklyn,"[""case management"",""individual advocacy"",""individual client outreach""]",False,Low Budget,1,,,
