complaint_type,location_type,descriptor,intersection_street_2,total,count,average
Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,169 STREET,1039667.0,2640,1039667.0
Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,72 AVENUE,1036658.0,630,1036658.0
Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,WILLIAMS AVENUE,1011845.0,24,1011845.0
Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,MANHATTAN AVENUE,997282.0,400,997282.0
Illegal Parking,Street/Sidewalk,Parking Permit Improper Use,VERNON BOULEVARD,996424.0,1920,996424.0
