project_status,stimulus_funding,funding_category,interim_spending_deadline,final_spending_deadline,_of_funds_to_be_spent_by_interim_spending_deadine,date_funds_awarded_by_fed_state,displaced_city_funding
Less than 50% completed,23724959.81,Infrastructure,2011-03-17 00:00:00,2012-03-17 00:00:00,60.0,2009-03-18 00:00:00,0.0
Less than 50% completed,23724959.81,Infrastructure,2011-03-17 00:00:00,2012-03-17 00:00:00,60.0,2009-03-18 00:00:00,0.0
Less than 50% completed,23724959.81,Infrastructure,2011-03-17 00:00:00,2012-03-17 00:00:00,60.0,2009-03-18 00:00:00,0.0
Less than 50% completed,23724959.81,Infrastructure,2011-03-17 00:00:00,2012-03-17 00:00:00,60.0,2009-03-18 00:00:00,0.0
Less than 50% completed,23724959.81,Infrastructure,2011-03-17 00:00:00,2012-03-17 00:00:00,60.0,2009-03-18 00:00:00,0.0
Less than 50% completed,7450974.0,Neighborhood Stabilization,,2012-09-30 00:00:00,,2009-08-10 00:00:00,0.0
Less than 50% completed,707717837.0,Education,,2011-09-30 00:00:00,,2009-04-01 00:00:00,0.0
Less than 50% completed,707717837.0,Education,,2011-09-30 00:00:00,,2009-04-01 00:00:00,0.0
Less than 50% completed,707717837.0,Education,,2011-09-30 00:00:00,,2009-04-01 00:00:00,0.0
Less than 50% completed,707717837.0,Education,,2011-09-30 00:00:00,,2009-04-01 00:00:00,0.0
Less than 50% completed,707717837.0,Education,,2011-09-30 00:00:00,,2009-04-01 00:00:00,0.0
