school_name,code1,grade9geapplicantsperseat5,grades2018,boro,academicopportunities3,rank,dense_rank
International High School at Lafayette,K38R,,9 to 12,K,AP exams in various languages,1,1
Williamsburg High School for Architecture and Design,K09X,,9 to 12,K,Coursework teaches marketable and unique skill sets that bolster student employability and college admissions.,1,1
"The School for Classics: An Academy of Thinkers, Writers and Performers",L53A,,9 to 12,K,"All students but especially non-actors can opt for the Science Research path that leads to Chemistry, AP Environmental ,and AP Biology courses.",1,1
The School for Human Rights,K04X,,8 to 12,K,,1,1
Eagle Academy for Young Men II,L65A,,6 to 12,K,"Creative Writing, Ethics, Psychology, Automotive Tech, Music Production, Graphic Design, Computer Tech",1,1
Central Park East High School,M86A,,9 to 12,M,"Expanded Success Initiative, AP for All (Advanced Placement) Program, National Honor Society, Heckscher Scholars Program, Peer Health Exchange",1,1
Richard R. Green High School of Teaching,M23A,,9 to 12,M,Advisory program (all grades); Advancement Via Individual Determination (AVID): four-year college-readiness program; The Future Project,1,1
 The American Sign Language and English Secondary School,M54A,,9 to 12,M,"College Board Advanced Placement (AP) classes: Biology, Language and Composition, Literature and Composition and United States History",1,1
Urban Assembly Gateway School for Technology,A23A,,9 to 12,M,"Technology coursework in: Networking, Cybersecurity, Photoshop, Illustrator, MAYA & 3D Animation, Java, Javascript, Python, Scratch, HTML/CSS, CFM",1,1
Millennium High School,M25A,,9 to 12,M,"Mathematics: Algebra I, Algebra II, Applied Math, Geometry, Precalculus",1,1
Columbia Secondary School,A15A,,6 to 12,M,Humanities sequence includes Philosophy coursework; Electives in the Sciences and Creative Arts,1,1
The Global Learning Collaborative,A17A,,9 to 12,M,"Academic Partners: Hochman Writing, Generation Citizen, Solar One, Stock Market Game, One to World, NY Cares, Project Rousseau",1,1
Crotona International High School,Y56A,,9 to 12,X,CTE program sequences in Digital Media,1,1
"The Marie Curie School for Medicine, Nursing, and Health Professions",X62X,,9 to 12,X,"Health Career Awareness, Lehman College-Pathways to Nursing, Montefiore Hospital-Mentoring In Medicine, New York University-Mini-Meds Program.",1,1
The Urban Assembly Bronx Academy of Letters,X27A,,6 to 12,X,"Honors Classes, College Trips, Cultural Field Trips, Regular Community Service Trips, College-Level Research Projects",1,1
Kingsbridge International High School,X86R,,9 to 12,X,,1,1
Validus Preparatory Academy,X07R,,9 to 12,X,Credit Recovery for students to make up for shortfalls in required courses.,1,1
Frederick Douglass Academy VI High School,Q75X,,9 to 12,Q,iLearnNYC: Program for expanded online coursework and self-paced learning,1,1
Jamaica Gateway to the Sciences,Q26G,,9 to 12,Q,,1,1
Queens Metropolitan High School,Q39Z,,9 to 12,Q,,1,1
