fact_column,total_dimension1,average_dimension2,legal_business_name,landmark_district_or_building,qualify_alcohol,seating_interest_sidewalk
EAST COAST BURGERS INC.,224.0,28.0,EAST COAST BURGERS INC.,False,True,both
FRESH SUBWAY 168 INC,,30.0,FRESH SUBWAY 168 INC,False,False,sidewalk
SWEETGREEN NEW YORK LLC,,35.0,SWEETGREEN NEW YORK LLC,False,False,both
Kitsby Cafe Inc,240.0,16.0,Kitsby Cafe Inc,False,False,both
"RF Broadway, LLC",,34.0,"RF Broadway, LLC",False,True,sidewalk
G & J Restaurant Corp,,43.0,G & J Restaurant Corp,False,True,sidewalk
di bella corp,320.0,40.0,di bella corp,False,True,both
81 PEARL STREET V ENTURE LTD,,,81 PEARL STREET V ENTURE LTD,True,True,openstreets
"LA TRONCALENA RESTAURANT &amp; FOOD OPERATIONS, INC.",175.0,25.0,"LA TRONCALENA RESTAURANT &amp; FOOD OPERATIONS, INC.",False,True,both
APQ Bryant Park NY LLC,320.0,40.0,APQ Bryant Park NY LLC,False,False,both
LOS CAFETALES RESTAURANT CORP,,14.0,LOS CAFETALES RESTAURANT CORP,False,False,both
KEUR COUMBA RESTAURANT INC,,44.0,KEUR COUMBA RESTAURANT INC,False,False,sidewalk
Carra LLC,,65.0,Carra LLC,False,True,sidewalk
TROPILYZ B RESTAURANT INC,,15.0,TROPILYZ B RESTAURANT INC,False,False,sidewalk
"Laguna Azul 1910, Inc.",336.0,42.0,"Laguna Azul 1910, Inc.",False,True,both
232 Vanderbilt Ave Restaurant Corp,400.0,50.0,232 Vanderbilt Ave Restaurant Corp,False,True,both
4902 Skillman Cafe LLC,416.0,,4902 Skillman Cafe LLC,False,True,roadway
Barghost Corp.,360.0,20.0,Barghost Corp.,False,True,both
Xochil Pizza Corp,,,Xochil Pizza Corp,False,False,openstreets
115 RESTAURANT CORP,,,115 RESTAURANT CORP,False,True,openstreets
TAKE AWAY AND CAFE INC.,160.0,20.0,TAKE AWAY AND CAFE INC.,False,False,both
27 East Restaurant Holdings LLC,288.0,36.0,27 East Restaurant Holdings LLC,False,True,both
Asian Kabab and Curry Inc,60.0,20.0,Asian Kabab and Curry Inc,False,False,both
Absurd Conclave,400.0,50.0,Absurd Conclave,False,False,both
Calabria Restaurant LLC,,,Calabria Restaurant LLC,True,True,openstreets
"APQ E53 NY, LLC",200.0,25.0,"APQ E53 NY, LLC",False,False,both
"SDJR SYSTEMS 3, LLC",,45.0,"SDJR SYSTEMS 3, LLC",False,False,sidewalk
LOS CAFETALES RESTAURANT CORP,,14.0,LOS CAFETALES RESTAURANT CORP,False,False,sidewalk
TASTE GOOD PLACE INC,200.0,,TASTE GOOD PLACE INC,False,False,roadway
PEE DEE CORP.,176.0,,PEE DEE CORP.,False,False,roadway
MMG Tribeca NY Inc.,160.0,20.0,MMG Tribeca NY Inc.,False,False,both
IDG Seaport Corp,240.0,30.0,IDG Seaport Corp,True,True,both
R &amp; J LOUNGE CORP,256.0,36.0,R &amp; J LOUNGE CORP,False,True,both
108 Gigs LLC,624.0,,108 Gigs LLC,False,True,roadway
"HBC GROUP USA, INC.",800.0,100.0,"HBC GROUP USA, INC.",False,True,both
One One Domestic Corp,320.0,40.0,One One Domestic Corp,False,True,both
"LEGENDARY NIGHT SPOTS, INC",,95.0,"LEGENDARY NIGHT SPOTS, INC",False,True,sidewalk
Noree Thai Bazaar Inc,320.0,20.0,Noree Thai Bazaar Inc,False,True,both
CDDF Inc.,340.0,34.0,CDDF Inc.,False,True,both
L &amp; F MARTHA CORP.,144.0,18.0,L &amp; F MARTHA CORP.,False,True,both
Kobe 1 Inc.,152.0,19.0,Kobe 1 Inc.,False,True,both
Paris Oven Inc,,20.0,Paris Oven Inc,False,False,sidewalk
Affys Premium Grill Inc.,144.0,20.0,Affys Premium Grill Inc.,False,False,both
Springbone 90 West 3rd LLC,,19.0,Springbone 90 West 3rd LLC,True,False,sidewalk
Sunrise Mart Inc.,328.0,27.0,Sunrise Mart Inc.,False,True,both
SHIAWASE FACTORY LTD,250.0,25.0,SHIAWASE FACTORY LTD,False,False,both
jaya 888 inc,500.0,50.0,jaya 888 inc,True,True,both
SWEETGREEN NEW YORK LLC,,35.0,SWEETGREEN NEW YORK LLC,False,False,sidewalk
Gerizim Burger Factory,300.0,15.0,Gerizim Burger Factory,False,False,both
HOU YI HOT POT INC,144.0,15.0,HOU YI HOT POT INC,False,True,both
MALA MIDTOWN LLC,160.0,,MALA MIDTOWN LLC,False,True,roadway
EVIR CORP,560.0,87.0,EVIR CORP,True,True,both
