owner_businessname,filing_type,worker_compensation,filingstatus_or_filingincludes,category,count,avg_value,total_value,max_value
NOUVEAU ELEVATOR,New Filing,2022-01-01 00:00:00,Alteration/Replacement,High Cost,1,1073750.0,1073750.0,1073750.0
BRIGHTON TERRACE LLC.,New Filing,2026-04-01 00:00:00,New Installation,High Cost,1,247320.0,247320.0,247320.0
DREAM HOTEL GROUP,New Filing,2021-08-16 00:00:00,Alteration/Replacement,Low Cost,1,16500.0,16500.0,16500.0
LINK REAL ESTATE,New Filing,2021-01-01 00:00:00,Remove,Low Cost,1,3250.0,3250.0,3250.0
1728 EAST 19 STREET CONDO,New Filing,2022-04-01 00:00:00,Alteration/Replacement,Low Cost,1,7000.0,7000.0,7000.0
JRC MANAGEMENT LLC,New Filing,2023-01-01 00:00:00,Alteration/Replacement,Medium Cost,1,96000.0,96000.0,96000.0
S&E BRIDGE & SCAFFOLD LLC,New Filing,2020-05-23 00:00:00,New Installation,Low Cost,1,20000.0,20000.0,20000.0
EAST COAST MANAGEMENT LLC,New Filing,2022-01-01 00:00:00,New Installation,Low Cost,1,11860.0,11860.0,11860.0
WAGAMAMA,New Filing,2020-11-01 00:00:00,New Installation,Medium Cost,1,82700.0,82700.0,82700.0
CON EDISON,New Filing,2023-01-01 00:00:00,Alteration/Replacement,High Cost,1,853000.0,853000.0,853000.0
MXR REALTY,New Filing,2021-07-19 00:00:00,Alteration/Replacement,Low Cost,1,10000.0,10000.0,10000.0
PR,New Filing,2021-01-01 00:00:00,Alteration/Replacement,Low Cost,2,15875.0,31750.0,22750.0
TF CORNERSTONE INC.,New Filing,2020-04-01 00:00:00,Alteration/Replacement,Low Cost,1,30000.0,30000.0,30000.0
DOE/DSF VERTICAL TRANSPORTATION SYS,New Filing,2022-01-01 00:00:00,Dismantle,Low Cost,1,11625.0,11625.0,11625.0
"SUPERIOR REALTY GROUP , LLC",New Filing,2024-03-01 00:00:00,Alteration/Replacement,High Cost,1,513000.0,513000.0,513000.0
771 NINTH PROPERTY LLC,New Filing,2022-01-01 00:00:00,New Installation,Medium Cost,1,200000.0,200000.0,200000.0
NORTH AMERICAN ELEVATOR,New Filing,2020-08-06 00:00:00,Alteration/Replacement,Low Cost,1,6674.0,6674.0,6674.0
"CENTENNIAL ELEVATOR INDUSTRIES, INC",PAA,2021-04-01 00:00:00,Alteration/Replacement,High Cost,1,400000.0,400000.0,400000.0
PR,New Filing,2021-08-16 00:00:00,Alteration/Replacement,Low Cost,1,10000.0,10000.0,10000.0
MORDECHEI EISSENBERG,New Filing,2020-04-01 00:00:00,Alteration/Replacement,Low Cost,1,7000.0,7000.0,7000.0
GLOBAL MANAGEMENT LLC,PAA,2021-01-01 00:00:00,New Installation,High Cost,1,220000.0,220000.0,220000.0
DCAS,PAA,2026-04-01 00:00:00,Alteration/Replacement,High Cost,1,2100000.0,2100000.0,2100000.0
NORTH AMERICAN ELEVATOR,New Filing,2023-12-01 00:00:00,Alteration/Replacement,Low Cost,1,6674.0,6674.0,6674.0
RENAISSANCE 627 PROPERTIES LLC,New Filing,2020-01-01 00:00:00,Alteration/Replacement,Medium Cost,1,180000.0,180000.0,180000.0
GUARDIAN REALTY,New Filing,2022-08-29 00:00:00,Alteration/Replacement,Medium Cost,1,85000.0,85000.0,85000.0
GLOBAL HOLDINGS,New Filing,2023-04-01 00:00:00,Alteration/Replacement,Medium Cost,1,88000.0,88000.0,88000.0
DOMINION MANAGEMENT COMPANY LLC,New Filing,2019-04-01 00:00:00,Alteration/Replacement,Low Cost,1,5850.0,5850.0,5850.0
DOE/DSF VERTICAL TRANSPORTATION SYS,PAA,2022-01-01 00:00:00,Alteration/Replacement,Medium Cost,1,147756.0,147756.0,147756.0
PR,New Filing,2020-12-01 00:00:00,Alteration/Replacement,Low Cost,1,26953.0,26953.0,26953.0
BRITT REALTY LLC,PAA,2026-10-31 00:00:00,New Installation,High Cost,1,750000.0,750000.0,750000.0
WAGAMAMA,New Filing,2020-11-01 00:00:00,Alteration/Replacement,Medium Cost,1,82700.0,82700.0,82700.0
771 NINTH PROPERTY LLC,New Filing,2022-01-01 00:00:00,Remove,Medium Cost,1,200000.0,200000.0,200000.0
CUSHMAN & WAKEFIELD,New Filing,2024-01-01 00:00:00,Alteration/Replacement,Low Cost,1,7500.0,7500.0,7500.0
OWNERS REP,New Filing,2020-11-17 00:00:00,New Installation,Low Cost,1,20000.0,20000.0,20000.0
PARK CONSTRUCTION CORP,New Filing,2020-07-01 00:00:00,Alteration/Replacement,Low Cost,1,14000.0,14000.0,14000.0
"GUARDSMAN ELEVATOR CO., INC.",New Filing,2020-01-01 00:00:00,Alteration/Replacement,Medium Cost,1,72000.0,72000.0,72000.0
LIBERTY ELEVATOR CORPORATION,New Filing,2024-09-25 00:00:00,Alteration/Replacement,Low Cost,1,9923.0,9923.0,9923.0
LAKEVIEW MAINTANCE,New Filing,2022-01-01 00:00:00,Alteration/Replacement,Low Cost,1,10000.0,10000.0,10000.0
CB EMMANUEL REALTY,PAA,2022-12-31 00:00:00,New Installation,High Cost,1,239000.0,239000.0,239000.0
PR,New Filing,2019-04-01 00:00:00,Alteration/Replacement,Medium Cost,1,142140.0,142140.0,142140.0
MIKE,New Filing,2020-04-01 00:00:00,Alteration/Replacement,Low Cost,1,30000.0,30000.0,30000.0
HKF INC,PAA,2021-12-01 00:00:00,New Installation,High Cost,1,1700000.0,1700000.0,1700000.0
