project_status,funding_category,date_funds_awarded_by_fed_state,total,count,average
Less than 50% completed,Infrastructure,2009-03-18 00:00:00,11253396.47999994,388,29003.59917525758
Less than 50% completed,Education,2009-04-01 00:00:00,1518439.1300000255,3739,406.10835250067544
Completed 50% or more,Economic and Workforce Development,2009-03-23 00:00:00,49911.23,8,6238.90375
Completed 50% or more,Infrastructure,2009-03-18 00:00:00,46358.0,2,23179.0
Fully Completed,Health and Social Support,2009-06-10 00:00:00,24245.1,3,8081.7
Completed 50% or more,Economic and Workforce Development,2009-04-01 00:00:00,24224.3,1,24224.3
Less than 50% completed,Education,2009-06-19 00:00:00,12825.38,2,6412.69
Completed 50% or more,Health and Social Support,2009-04-01 00:00:00,10200.0,1,10200.0
Less than 50% completed,Neighborhood Stabilization,2009-08-10 00:00:00,8650.0,1,8650.0
