house_no,house_no,filing_type,failure_to_file_amt,sequence_no,current_status,total_failure_to_correct_amt
120,120,Auto-Generated,15000.0,1.0,SWARMP,0.0
225,225,Auto-Generated,0.0,1.0,SAFE,0.0
355,355,Initial,0.0,1.0,SAFE,0.0
2857,2857,Auto-Generated,5000.0,1.0,SAFE,0.0
1925,1925,Auto-Generated,5000.0,1.0,UNSAFE,0.0
160,160,Auto-Generated,5000.0,3.0,SWARMP,0.0
108,108,Auto-Generated,7000.0,1.0,SWARMP,4000.0
270,270,Auto-Generated,1000.0,1.0,SAFE,0.0
109,109,Amended,0.0,1.0,SAFE,0.0
840,840,Auto-Generated,0.0,6.0,SAFE,0.0
735,735,Auto-Generated,0.0,9.0,UNSAFE,0.0
3764,3764,Auto-Generated,7000.0,,SAFE,12000.0
20,20,Auto-Generated,0.0,1.0,SAFE,0.0
210,210,Auto-Generated,0.0,4.0,SAFE,0.0
137-07,137-07,Auto-Generated,1000.0,1.0,SAFE,0.0
780,780,Auto-Generated,5000.0,1.0,SAFE,0.0
122,122,Auto-Generated,5000.0,1.0,SWARMP,0.0
186,186,Auto-Generated,0.0,1.0,SWARMP,0.0
1105,1105,Auto-Generated,0.0,1.0,SAFE,0.0
1435,1435,Auto-Generated,0.0,2.0,SAFE,0.0
950,950,Auto-Generated,5000.0,1.0,SWARMP,0.0
29,29,Auto-Generated,3000.0,1.0,UNSAFE,187400.0
1648,1648,Auto-Generated,0.0,1.0,SWARMP,0.0
160,160,Auto-Generated,5000.0,3.0,SAFE,0.0
556,556,Initial,10000.0,1.0,SAFE,0.0
155,155,Auto-Generated,0.0,1.0,SAFE,18000.0
3299,3299,Auto-Generated,1000.0,1.0,SAFE,84600.0
3,3,Auto-Generated,25000.0,1.0,SAFE,0.0
735,735,Auto-Generated,0.0,3.0,UNSAFE,0.0
406,406,Auto-Generated,0.0,1.0,SAFE,0.0
411,411,Auto-Generated,5000.0,1.0,SAFE,0.0
330,330,Auto-Generated,0.0,1.0,SAFE,0.0
222,222,Auto-Generated,1000.0,1.0,SWARMP,0.0
1240,1240,Auto-Generated,1000.0,1.0,SAFE,160000.0
322,322,Amended,0.0,1.0,UNSAFE,2000.0
18,18,Auto-Generated,6000.0,1.0,SAFE,0.0
228,228,Initial,0.0,1.0,SWARMP,0.0
162,162,Auto-Generated,10000.0,,SAFE,0.0
3980,3980,Auto-Generated,5000.0,1.0,SWARMP,10000.0
108,108,Auto-Generated,7000.0,1.0,SAFE,4000.0
217,217,Auto-Generated,0.0,,SAFE,0.0
3980,3980,Auto-Generated,5000.0,1.0,SAFE,10000.0
162,162,Auto-Generated,10000.0,,SWARMP,0.0
207,207,Auto-Generated,12000.0,1.0,SWARMP,0.0
44,44,Auto-Generated,5000.0,1.0,SWARMP,8000.0
2350,2350,Auto-Generated,1000.0,1.0,UNSAFE,0.0
217,217,Auto-Generated,0.0,,No Report Filed,0.0
136-16,136-16,Auto-Generated,112000.0,1.0,No Report Filed,0.0
117,117,Auto-Generated,11000.0,1.0,SWARMP,0.0
303,303,Auto-Generated,0.0,1.0,SAFE,0.0
2835,2835,Auto-Generated,5000.0,1.0,UNSAFE,2000.0
2515,2515,Auto-Generated,12000.0,1.0,SWARMP,0.0
735,735,Auto-Generated,0.0,4.0,UNSAFE,0.0
3-10,3-10,Auto-Generated,0.0,4.0,SWARMP,0.0
919,919,Auto-Generated,0.0,1.0,UNSAFE,0.0
400,400,Auto-Generated,39000.0,1.0,SWARMP,511520.0
120,120,Auto-Generated,15000.0,1.0,SAFE,0.0
59,59,Amended,5000.0,1.0,UNSAFE,395000.0
