doing_business_as_dba,total_roadway_area
Carra LLC,
Xochil Pizza Corp,
Kobe 1 Inc.,152.0
THE DUPLEX,
PEE DEE STEAK,176.0
Basta Pasta,320.0
pasiones sport bar,144.0
Gerizim Burger Factory,300.0
SAN MARZANO,560.0
Kitsby Cafe Inc,240.0
Affys Premium Grill,144.0
Fleming By Le Bilboquet,288.0
la villa pizza,320.0
LA TRONCALENA RESTAURANT,175.0
Sunrise Mart Inc.,328.0
R &amp; J LOUNGE,256.0
THE IZAKAYA,250.0
LOS CAFETALES RESTAURANT CORP,
Noree Thai Bazaar,320.0
jaya 888,500.0
Healthy Joe's,160.0
81 PEARL STREET V ENTURE LTD,
1974,160.0
Springbone Kitchen,
TROPILYZ B RESTAURANT INC,
Le Pain Quotidien,520.0
HOU YI HOT POT,144.0
CHINESE RESTAURANT,200.0
P J Horgan's,416.0
The Wilky,624.0
MCDONALD'S,
Paris Oven Inc,
Graziella's Restaurant,400.0
Asian Kabab and Curry Inc,60.0
GULSHAN TERRACE,800.0
EAST COAST BURGERS,224.0
Fresh Sub 168 Inc,
Tito Murphys,340.0
RedFarm,
absurd conclave,400.0
"Laguna Azul 1910, Inc.",336.0
Sweet Polly,360.0
SWEETGREEN,
Il Brigante Restaurant,
KEUR COUMBA RESTAURANT,
TOSOCCHON,
MALA PROJECT,160.0
ROW HOUSE,
Thai Farm Kitchen Seaport,240.0
