job_filing_number,total_counter_weight_buffer_stroke,elevator_type,machine_model
M00171891-I1,1.0,Passenger,
Q00322628-I1,,Passenger,existing
S08026288-P1,0.0,Passenger,TPM3
Q00889875-I1,,Passenger,inground hydro ce13
M00318072-I1,,Passenger,
M00121955-I1,3.0,Passenger,219 HT
M00163402-I1,0.0,Passenger,39-MC
Q08015133-P1,,Escalator,
M01042439-I1,1.0,Passenger,30T
M00080062-P1,0.0,Passenger,54 OD
Q00279628-I1,,Passenger,existing
B01186523-I1,,Passenger,TYPE - 01
B00807906-I1,,,Express II
Q00305648-I1,0.0,Passenger,1
B00102117-I1,,Passenger,
M01050759-I1,0.0,Passenger,GL100-20L
M00183708-I1,0.0,Passenger,44OH
B00881496-I1,0.0,Passenger,Existing
M00547393-P2,0.0,Passenger,63OH
B01037519-I1,,Passenger,
B00361636-I1,,Passenger,
M00193197-I1,,Passenger,
M00128274-I1,1.0,Passenger,627D104G1
M00333832-I1,,Passenger,existing
M00201338-I1,,Passenger,
M00724655-I1,2.0,Passenger,GTE427
X00643851-I1,,Passenger,
M00898726-I1,3.0,Passenger,525A
M00254733-I1,1.0,Passenger,
M00278202-I1,0.0,Passenger,Existing
Q00275844-I1,,Passenger,
M00047252-I1,,Passenger,
M00026276-P1,8.0,Passenger,
M00315470-I1,,Passenger,
M00105366-I1,0.0,Passenger,Existing
M00174384-I1,,Passenger,
X00187687-I1,,Passenger,
B00710408-I1,0.0,Passenger,TPM3
X00688848-P1,0.0,Passenger,
Q00503279-I1,,Passenger,
M00456084-I1,,Passenger,
M00210757-I1,,Passenger,OH worm gear
M00204225-I1,4.0,Passenger,TX R5
M00500935-I1,,Passenger,
B00197364-I1,,Passenger,
