property_id,total_water_intensity,property_name,last_modified_date_electric
3524382,47.98,1701 W 3rd Street LLC,02/26/2018 02:34 PM EST
3117707,107.85,AMDA - Stratford Arms Hotel,03/12/2018 10:09 AM EDT
6198641,,Queen of All Saints - PARISH,01/23/2018 04:24 PM EST
6276753,,Ramaz School - 114 E 85 St,
2649752,14.71,West Chelsea Building LLC,03/13/2018 09:27 AM EDT
2941942,135.24,Melohn Foundation,03/12/2018 03:13 PM EDT
5766730,,1901 Ocean Parkway - Sephardic Community Center,02/23/2018 10:36 AM EST
6236828,20.84,380 BROADWAY LLC,02/27/2018 04:00 PM EST
1819837,19.74,Center for Automotive Education and Training,
6151465,19.59,85 Broad Street,03/07/2018 07:09 PM EST
5793733,29.37,The Jefferson Condominium,03/08/2018 10:28 AM EST
2731076,,Chapin Home for the Aging,
2587536,1.13,28 Second Ave,03/15/2018 04:00 PM EDT
4043349,36.16,Rolex Realty Company Inc,03/06/2018 09:26 AM EST
6182209,5.04,Staples,
4401675,24.14,ESRT - 250 West 57th Street,02/19/2018 01:52 PM EST
2646028,0.0,NH Forest Hills,03/25/2018 06:36 PM EDT
2817671,,2764-66 Realty LLC,03/29/2018 01:10 PM EDT
4407826,13.01,Olnick - ROC Fifth Avenue Associates LLC,03/29/2018 12:23 PM EDT
2640850,22.35,525 BUILDING CO.,03/20/2018 10:24 AM EDT
2786510,57.11,1530-1532 Townsend,03/20/2018 11:42 AM EDT
2665684,21.09,Episcopal Church Center,02/15/2018 03:27 PM EST
6128972,,Building 2,02/23/2018 10:58 AM EST
2674887,12.0,1402 Broadway ENT,03/20/2018 02:28 PM EDT
5078536,19.24,43-01 22nd Street Owners LLC,03/15/2018 03:41 PM EDT
3113637,61.260000000000005,Wendi Realty LLC,02/06/2018 08:15 AM EST
6190886,137.82,"2753 Realty, LLC",03/09/2018 01:27 PM EST
2710362,,17197 - 119 West 57th Street,03/16/2018 01:45 PM EDT
2817671,,2764-66 Realty LLC,03/26/2018 09:10 AM EDT
3108824,,Hotel Wales,03/26/2018 11:56 AM EDT
2942054,90.95,1710 Cortelyou Road - 40241,03/05/2018 09:05 AM EST
6223345,37.59,116 West Houston,04/04/2018 11:14 AM EDT
3488156,158.42,1864 corp.,03/04/2018 11:12 AM EST
2936772,3.32,134,
2975830,160.36,600 Burke Ave,04/03/2018 01:31 PM EDT
2664118,51.65,Sovereign - 425 East 58th Street,02/20/2018 09:53 AM EST
2947162,8.01,Brooklyn Excelsior Charter School,03/02/2018 03:41 PM EST
4041531,77.87,210 Amsterdam Avenue - 40508,03/22/2018 04:25 PM EDT
2989315,22.36,8801 Shore RD BG Corp,03/27/2018 11:21 AM EDT
3382694,2.11,Georgia Ave.,04/03/2018 03:24 PM EDT
6299476,,1301 Surf Ave,04/26/2018 11:46 AM EDT
6011246,89.74,Alini Enterprises Inc.,03/26/2018 09:10 AM EDT
2702022,23.36,LITTLE 40 WORTH ASSOC.,03/29/2018 01:35 PM EDT
2809319,89.66,Weiss Realty - 2446 University Avenue,04/04/2018 09:24 AM EDT
6245205,,209 (211) East 43rd Street,03/12/2018 08:57 PM EDT
5237199,4.22,34-24 Hunters Point Avenue,04/03/2018 05:13 PM EDT
2703161,13.84,40 West 37th,03/16/2018 05:08 PM EDT
6222514,,Two Waltons 2240 Walton Ave,03/07/2018 04:25 PM EST
4401809,41.400000000000006,ESRT - One Grand Central Place,02/19/2018 01:45 PM EST
2942073,97.0,777 East 31 Street - 40240,03/08/2018 09:24 AM EST
6212669,78.05,2355/57 Prospect Ave.,03/27/2018 03:48 PM EDT
