dsny_district,dsny_zone,count,total
SI02,SI,4,201.0
BKN01,BKN,6,200.0
SI03,SI,3,153.0
SI01,SI,3,147.0
BKN03,BKN,3,108.0
QE07,QE,4,77.0
BKN04,BKN,2,74.0
QW09,QW,2,61.0
BKS18,BKS,1,45.0
BKN05,BKN,1,42.0
