addlocationinfo1,total_dimension1,average_dimension2
@ END OF BAY PKWY NEAR THE,4100.0,1158.0
OUTER PATHWAY NR,460.0,497.6
CONEY ISL. BRDWLK,0.0,0.0
"BOARDWALK, OCEAN",0.0,0.0
FATHER CAPPODANO,0.0,0.0
DYKER BEACH GOLF,799992.0,55555.0
WESTCHESTER SQ.,1800.0,0.0
DELPHIN H GREENE PLAYGROUND,0.0,175.0
CRESTON AVE. &,1200.0,833.33
NE OF COLUMBUS AVE.,1500.0,0.0
VOLLEYBALL AREA #6,0.0,0.0
221ST ST & 120TH AVE,183.33,221.0
JUNIPER PLAYGROUND,0.0,0.0
EMMONS AVE. FROM,0.0,0.0
FMCP,14166.0,27350.0
BAY PARKWAY & SHORE,0.0,0.0
HART BLVD & REVERE ST,1303.46,231.0
ARTHUR KILL RD &,15550.0,0.0
30TH AVE. B/W 84TH,1040.0,984.0
IN FRONT OF LIGHT,0.0,2421.0
MARINE PARK GOLF,0.0,0.0
BAY ST. B/W HENRY,720.0,833.0
"PIER #8, BERTH #1E",0.0,0.0
DESIGNATED VALLEYBALL AREA,727.9,832.79
INWOOD HILL,0.0,270.0
AROUND THE UNISPHERE,0.0,0.0
AT THE SOUTH ENTRACE,280.0,350.0
EAST 23 ST. & ASSER,0.0,0.0
OLMSTED CENTER,68000.0,45000.0
SEAMAN AVENUE AND,566.0,270.0
VOLLEYBALL  AREA,0.0,771.0
ALONG THE PATH OF THE,166.0,163.0
P.S. 52 MASON PLAYGROUND,0.0,333.0
LUCILLE FERRIER PLYG,285.0,385.0
BOUNDED BY PROSP.ST,0.0,0.0
SO. OF MONUMENT NEAR,0.0,0.0
SOCCER FIELD @165TH,0.0,0.0
INDIAN RD & W214 ST,0.0,0.0
KERBS MEMORIAL BOAT-,15076.0,26336.0
"BALL FIELDS 1&2,",0.0,416.0
NORTHERN SOCCER FIELD,233.33,233.35
DEKECK DILWORTH-,104.0,105.0
3 LANDING SLIPS AT,416666.74,166674.0
ANDREW LEHMAN FIELD,0.0,0.0
COURT & JORALEMON,0.0,0.0
ENTRANCE AT JAMAICA,0.0,0.0
FMCP CAROUSEL,0.0,6250.0
"HART BLVD, & REVERE ST",0.0,231.0
