dsny_zone,categoriesaccepted,hours,categoriesavailable,record_count,total_amount,avg_amount,max_amount,min_amount
BX,"Clothing/Personal Accessories, Footwear",,,2,30.0,15.0,15.0,15.0
SI,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 12:00 PM-07:00 PM, Sunday 12:00 PM-07:00 PM",Food/Beverage,3,33.0,11.0,11.0,11.0
BX,HealthCare,,,2,30.0,15.0,15.0,15.0
MN,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Arts/Crafts, Musical Instruments, Office Furniture/Furnishings",2,20.0,10.0,10.0,10.0
BKN,"Clothing/Personal Accessories, Footwear",,,3,22.0,7.333333333333333,8.0,7.0
SI,,"Monday Closed, Tuesday 11:00 AM-07:00 PM, Wednesday 11:00 AM-07:00 PM, Thursday 11:00 AM-07:00 PM, Friday 11:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-04:00 PM","Clothing/Personal Accessories, Footwear",2,22.0,11.0,11.0,11.0
QE,"Clothing/Personal Accessories, Footwear",,,5,53.0,10.6,14.0,5.0
SI,"Clothing/Personal Accessories, Footwear",,,2,22.0,11.0,11.0,11.0
QW,"Clothing/Personal Accessories, Footwear",,,2,14.0,7.0,7.0,7.0
BKN,Books/Media,,Books/Media,2,14.0,7.0,7.0,7.0
SI,Clothing/Personal Accessories,,,2,22.0,11.0,11.0,11.0
