engroupa,school_year,total,average,count
4C,2016 - 17,10.5,0.75,23
7C,2016 - 17,1.72,1.72,1
,2016 - 17,,,1
6C,2016 - 17,1.39,1.39,4
9C,2016 - 17,5.1,2.55,2
10C,2016 - 17,3.63,3.63,1
2C,2016 - 17,2.55,0.51,22
5C,2016 - 17,11.760000000000003,0.9800000000000003,12
3C,2016 - 17,6.3,0.63,29
