owner,staddr,block,record_count,total_amount,avg_amount,max_amount,min_amount
DCAS,HENRY STREET,288,456300.0,5475600,456300.0,456300,456300
NYC DOT,CO-OP CITY BOULEVARD,5141,2804.0,14020,2804.0,2804,2804
PARKS AND RECREATION,HOPKINSON AVENUE,1503,2155.0,19395,2155.0,2155,2155
DCAS,HUNT AVENUE,4259,60.0,720,60.0,60,60
DCAS,GATES AVENUE,1815,60.0,720,60.0,60,60
PARKS AND RECREATION,EAST 109 STREET,1680,281700.0,2535300,281700.0,281700,281700
NYC TRANSIT,KENT AVENUE,2324,0.0,0,0.0,0,0
DCAS,EAST 175 STREET,2952,60.0,720,60.0,60,60
NYC DOT,MAJ WM DEEGAN BLVD,2539,180.0,63000,180.0,450,0
DCAS,PELHAM PARKWAY,4222,450.0,5400,450.0,450,450
