neighborhood,bin,bin,total_units,total_est_gross_income,avg_gross_income_per_sqft
HIGHBRIDGE/MORRIS HEIGHTS,2008370.0,2008370.0,42,292905,6.9
RIVERDALE,2091925.0,2091925.0,104,1819778,11.1
KINGSBRIDGE/JEROME PARK,2091875.0,2091875.0,105,1485000,9.9
RIVERDALE,2083245.0,2083245.0,339,6063200,13.0
RIVERDALE,2083275.0,2083275.0,66,866250,10.5
MORRISANIA/LONGWOOD,2004128.0,2004128.0,29,280791,10.5
MELROSE/CONCOURSE,2003002.0,2003002.0,44,409530,8.03
KINGSBRIDGE/JEROME PARK,2095200.0,2095200.0,316,3663456,9.3
MELROSE/CONCOURSE,2002954.0,2002954.0,59,411720,7.3
BAYCHESTER,2072463.0,2072463.0,208,2739200,10.7
HIGHBRIDGE/MORRIS HEIGHTS,2008369.0,2008369.0,65,652016,8.0
RIVERDALE,2084204.0,2084204.0,90,1329365,11.5
MORRISANIA/LONGWOOD,2005804.0,2005804.0,26,178623,8.15
MORRISANIA/LONGWOOD,2005745.0,2005745.0,16,184647,10.09
KINGSBRIDGE/JEROME PARK,2091858.0,2091858.0,225,2398500,10.25
