inspection_by_firm,meet_standards,gi_result_internal_structure,total,count,average
Rosenwach Tank Co. LLC,,N,46,37,1.2432432432432432
ISSEKS BROS INC,,N,29,27,1.0740740740740742
"isseks bros., inc.",,N,24,10,2.4
Rosenwach Tank Co. LLC,Y,N,11,11,1.0
Isseks Bros Inc,,N,9,7,1.2857142857142858
American Pipe and Tank,,N,8,7,1.1428571428571428
Nalco Company,,N,7,6,1.1666666666666667
Nalco,,N,4,3,1.3333333333333333
DCAS,,N,4,2,2.0
Isseks,,N,3,3,1.0
American Pipe & Tank,,N,2,2,1.0
Isseks Bros. Inc.,,N,2,2,1.0
"Isseks Bros., Inc",,N,1,1,1.0
ISSEKS BROS LLC,Y,N,1,1,1.0
American pipe & Tank,,N,1,1,1.0
"Isseks Bros., Inc.",,N,1,1,1.0
ISSEKS BROS INC,Y,N,1,1,1.0
DCAS MMO Unit,,N,1,1,1.0
Isseks Bros. llc,,N,1,1,1.0
