city,serves_food,total,average,count
brooklyn,False,,,39
ozone park,False,,,1
long island city,False,,,1
far rockaway,False,,,1
new york,False,1585113.06,792556.53,59
bronx,False,129400.0,129400.0,68
jamaica,False,,,2
flushing,False,,,1
staten island,False,,,43
