trailerstate,endcity,total,count,average
NJ,,44.36,5,8.872
NJ,MANHATTAN,22.08,2,11.04
ME,MANHATTAN,10.0,1,10.0
ME,THE BRONX,9.11,1,9.11
,MANHATTAN,9.1,1,9.1
ME,BROOKLYN,9.06,1,9.06
PA,Brooklyn,8.07,1,8.07
WA,,8.06,1,8.06
PA,,8.06,1,8.06
NJ,BROOKLYN,8.06,1,8.06
NY,,8.06,1,8.06
ME,,8.06,1,8.06
GA,MANHATTAN,8.06,1,8.06
NY,New York,8.05,1,8.05
