business_name,license_nbr,issuance,lic_status,category,count,avg_value,total_value,max_value
HONEYBRAINS LAFAYETTE LLC,2051482-DCA,Pending Review,Inactive,medium,1,240.0,240,240
NEW YORK BURGER 10th AVE INC.,2041410-DCA,Pending Review,Inactive,large,1,762.0,762,762
"HASHEM MELECH, INC",2060235-DCA,Pending Review,Inactive,large,1,508.0,508,508
120 U REST. LLC,1412892-DCA,Pending Review,Inactive,medium,1,292.0,292,292
POLLOS MARIO WOODHAVEN CORP.,1305734-DCA,Pending Review,Inactive,large,1,412.0,412,412
3713 RIVERDALE REST CORP.,2058401-DCA,Pending Review,Inactive,medium,1,140.0,140,140
JPS VENTURES INC.,1283643-DCA,Pending Review,Inactive,medium,1,224.0,224,224
"TAPPO, INC.",1385967-DCA,Pending Review,Inactive,medium,1,140.0,140,140
"CAFE 71, INC.",1223566-DCA,Pending Review,Inactive,medium,1,288.0,288,288
VIDA MEXICANA INC.,1347915-DCA,Pending Review,Inactive,large,1,438.0,438,438
ONE MELON LLC,2021429-DCA,Issued,Active,large,1,420.0,420,420
"LUNELLA RISTORANTE, INC.",1072629-DCA,Pending Review,Inactive,medium,1,110.0,110,110
SOUTH LAKE HOSPITALITY GROUP INC.,1428232-DCA,Pending Review,Inactive,medium,1,180.0,180,180
PQ 933 BROADWAY INC.,1454646-DCA,Pending Review,Inactive,medium,1,126.0,126,126
SWEET CHICK FLATBUSH LLC,2059550-DCA,Pending Review,Inactive,large,1,328.0,328,328
PATRICIAS MORRIS PARK CORP.,2014465-DCA,Pending Review,Inactive,medium,1,154.0,154,154
