administrative_district_name,location_category_description,total,average,count
CITYWIDE SPECIAL EDUCATION,K-12 all grades,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 20,Elementary,4040,2020.0,2
COMMUNITY SCHOOL DISTRICT 17,Elementary,4040,2020.0,2
COMMUNITY SCHOOL DISTRICT 01,Elementary,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 06,K-8,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 13,High school,2020,2020.0,1
,High school,16160,2020.0,8
OFFICE OF CHARTER SCHOOLS,K-8,2020,2020.0,1
OFFICE OF CHARTER SCHOOLS,Secondary School,4040,2020.0,2
COMMUNITY SCHOOL DISTRICT 04,Junior High-Intermediate-Middle,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 15,Elementary,2020,2020.0,1
OFFICE OF CHARTER SCHOOLS,High school,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 03,K-8,4040,2020.0,2
OFFICE OF CHARTER SCHOOLS,Junior High-Intermediate-Middle,2020,2020.0,1
,Secondary School,4040,2020.0,2
COMMUNITY SCHOOL DISTRICT 02,K-8,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 23,Elementary,4040,2020.0,2
COMMUNITY SCHOOL DISTRICT 18,High school,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 14,Junior High-Intermediate-Middle,2020,2020.0,1
ALTERNATIVE HIGH SCHOOL DISTRICT,High school,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 18,Elementary,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 01,Junior High-Intermediate-Middle,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 17,Junior High-Intermediate-Middle,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 04,Elementary,2020,2020.0,1
OFFICE OF CHARTER SCHOOLS,K-12 all grades,8080,2020.0,4
COMMUNITY SCHOOL DISTRICT 32,Elementary,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 15,Junior High-Intermediate-Middle,4040,2020.0,2
OFFICE OF CHARTER SCHOOLS,Elementary,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 22,Elementary,8080,2020.0,4
COMMUNITY SCHOOL DISTRICT 01,K-8,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 06,Elementary,2020,2020.0,1
COMMUNITY SCHOOL DISTRICT 05,Junior High-Intermediate-Middle,2020,2020.0,1
