job_filing_number,job_number,bin,block,estimated_cost,filing_fee,rank,dense_rank
M00166408-I1,M00166408,1077350,732,30000.0,473.1,1,1
M00023163-I1,M00023163,1090766,1105,225000.0,2511.6,1,1
B00147251-I1,B00147251,3328017,3769,72000.0,905.7,1,1
S00336735-I1,S00336735,5000084,8,22750.0,401.0,1,1
M00248017-I1,M00248017,1035768,1291,6674.0,236.2,1,1
M00248017-I1,M00248017,1035768,1291,6674.0,236.2,1,1
X00078681-I1,X00078681,2097111,2424,11625.0,0.0,1,1
M00294915-I1,M00294915,1023157,1004,26953.0,442.2,1,1
M00106968-I1,M00106968,1051463,1603,5850.0,225.9,1,1
Q00259911-I1,Q00259911,4299223,15627,10000.0,267.1,1,1
B00532012-I1,B00532012,3400021,2491,853000.0,8950.0,1,1
B01184063-P1,B01184063,3002558,266,2100000.0,0.0,1,1
M01215333-I1,M01215333,1005750,429,247320.0,2748.5,1,1
M00157068-I1,M00157068,1083719,1007,82700.0,1049.0,1,1
M00157068-I1,M00157068,1083719,1007,82700.0,1616.4,1,2
M00134815-I1,M00134815,1085969,1009,1073750.0,11226.3,1,1
Q00066626-I1,Q00066626,4050482,2092,142140.0,1637.0,1,1
Q00325220-I1,Q00325220,4006678,570,14000.0,308.3,1,1
M00288961-I1,M00288961,1090740,1948,20000.0,225.0,1,1
B00376773-I1,B00376773,3179402,6701,10000.0,267.1,1,1
M00324727-I1,M00324727,1024782,1020,16500.0,339.2,1,1
M00547319-I1,M00547319,1030136,1147,11860.0,317.7,1,1
M00316853-I1,M00316853,1030358,1158,37600.0,585.5,1,1
M00797302-I1,M00797302,1035071,1273,7535.8,246.5,1,1
B00244888-I1,B00244888,3322342,1899,9000.0,256.8,1,1
M01250318-I1,M01250318,1059091,1945,22000.0,420.7,1,1
M00419982-I1,M00419982,1060086,2010,85000.0,1039.6,1,1
X00319354-P1,X00319354,2129416,3040,220000.0,225.0,1,1
M00908898-A8,M00908898,1091812,424,750000.0,225.0,1,1
S00518084-I1,S00518084,5048706,3307,14440.0,0.0,1,1
B00323914-I1,B00323914,3117604,5122,10000.0,267.1,1,1
B00850861-I1,B00850861,3131067,5495,513000.0,5448.0,1,1
Q00774126-I1,Q00774126,4006948,577,96000.0,1152.9,1,1
M00338935-I1,M00338935,1026725,1061,200000.0,195.0,1,1
M00338935-I1,M00338935,1026725,1061,200000.0,2254.1,1,2
M08050107-I1,M08050107,1091887,1259,10000.0,225.0,1,1
Q00525110-P1,Q00525110,4623857,85,20000.0,225.0,1,1
M00546215-I1,M00546215,1014343,780,34300.0,554.6,1,1
B00229594-I1,B00229594,3126157,5374,7000.0,236.2,1,1
B00501807-I1,B00501807,3390899,6801,7000.0,236.2,1,1
M00187497-P2,M00187497,1087243,15,400000.0,4284.1,1,1
M00871400-I1,M00871400,1079933,485,7500.0,246.5,1,1
M00127101-I1,M00127101,1014511,789,180000.0,2018.1,1,1
M00269656-I1,M00269656,1034220,1260,3500.0,205.3,1,1
Q00462228-P1,Q00462228,4043827,1756,147756.0,0.0,1,1
X00852654-I1,X00852654,2084091,5786,9923.0,267.1,1,1
M00273794-P1,M00273794,1015090,803,1700000.0,225.0,1,1
B00595356-P2,B00595356,3429520,3803,239000.0,0.0,1,1
S00169784-I1,S00169784,5015146,590,30000.0,473.1,1,1
M00243228-I1,M00243228,1012843,731,20000.0,400.1,1,1
X00805379-I1,X00805379,2004359,2619,11500.0,0.0,1,1
M00236356-I1,M00236356,1003049,233,3250.0,205.3,1,1
M00513706-I1,M00513706,1019460,895,88000.0,1070.5,1,1
