programstate,borough,programcity,total,count,average
NY,BROOKLYN,BROOKLYN,112279,10,11227.9
NY,MANHATTAN,NEW YORK,90189,9,10021.0
NY,QUEENS,FAR ROCKAWAY,70150,6,11691.666666666666
NY,BRONX,BRONX,52270,5,10454.0
NY,QUEENS,BROOKLYN,44956,4,11239.0
NY,BROOKLYN,FAR ROCKAWAY,23382,2,11691.0
NY,QUEENS,FLUSHING,22758,2,11379.0
