building_id,project_name,neighborhood_tabulation_area,prevailing_wage_status,project_start_date,all_counted_units,low_income_units,total_units
343596.0,1644 NEW YORK AVENUE,BK1702,Non Prevailing Wage,2024-12-23 00:00:00,11.0,,36
1014155.0,2769 CRESTON AVENUE,BX0702,Non Prevailing Wage,2024-10-07 00:00:00,43.0,,44
109365.0,1305 SHAKESPEARE AVENUE,BX0402,Non Prevailing Wage,2024-10-10 00:00:00,7.0,,8
979882.0,21-07 ASTORIA BLVD APARTMENTS,QN0103,Non Prevailing Wage,2025-04-25 00:00:00,21.0,,68
1014038.0,22-25 NEW HAVEN AVENUE APARTMENTS,QN1401,Non Prevailing Wage,2024-07-11 00:00:00,25.0,,26
3427.0,JERICHO HOUSE,MN1001,Non Prevailing Wage,2025-01-01 00:00:00,56.0,,56
927205.0,NEW PENN DEVELOPMENT,BK0502,Non Prevailing Wage,2024-12-30 00:00:00,4.0,2.0,4
927205.0,NEW PENN DEVELOPMENT,BK0502,Non Prevailing Wage,2024-12-30 00:00:00,4.0,2.0,4
927205.0,NEW PENN DEVELOPMENT,BK0502,Non Prevailing Wage,2024-12-30 00:00:00,4.0,2.0,4
88524.0,TIMPSON PLACE HDFC.GHPP.FY25,BX0101,Non Prevailing Wage,2025-06-30 00:00:00,42.0,8.0,42
88524.0,TIMPSON PLACE HDFC.GHPP.FY25,BX0101,Non Prevailing Wage,2025-06-30 00:00:00,42.0,8.0,22
1015676.0,23-10 42ND ROAD APARTMENTS,QN0201,Non Prevailing Wage,2024-08-19 00:00:00,72.0,,240
79792.0,CROTONA PARK WEST HDFC.HPO.FY24,BX0302,Non Prevailing Wage,2024-06-28 00:00:00,46.0,11.0,48
79792.0,CROTONA PARK WEST HDFC.HPO.FY24,BX0302,Non Prevailing Wage,2024-06-28 00:00:00,46.0,11.0,46
79792.0,CROTONA PARK WEST HDFC.HPO.FY24,BX0302,Non Prevailing Wage,2024-06-28 00:00:00,46.0,11.0,20
9707.0,MASARYK TOWERS.HRP.FY25,MN0302,Non Prevailing Wage,2025-06-26 00:00:00,219.0,,219
1017566.0,SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),BK0402,Non Prevailing Wage,2025-05-29 00:00:00,8.0,,8
1016893.0,130 EAST 165TH STREET APARTMENTS,BX0401,Non Prevailing Wage,2025-03-31 00:00:00,74.0,,75
267282.0,153 EAST 51 STREET,BK1703,Non Prevailing Wage,2025-05-14 00:00:00,3.0,,9
321897.0,B&R.YR15.FY25,BK0402,Non Prevailing Wage,2025-06-13 00:00:00,3.0,2.0,8
321897.0,B&R.YR15.FY25,BK0402,Non Prevailing Wage,2025-06-13 00:00:00,3.0,2.0,6
321897.0,B&R.YR15.FY25,BK0402,Non Prevailing Wage,2025-06-13 00:00:00,3.0,2.0,3
132465.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),BK0702,Non Prevailing Wage,2024-12-20 00:00:00,4.0,3.0,8
154257.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),BK0702,Non Prevailing Wage,2024-12-20 00:00:00,8.0,3.0,8
132465.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),BK0702,Non Prevailing Wage,2024-12-20 00:00:00,4.0,3.0,6
887513.0,SALEM HOUSE.YR15.FY25,MN1002,Non Prevailing Wage,2025-01-30 00:00:00,48.0,2.0,48
1006161.0,THE TRIO APARTMENTS,QN0201,Non Prevailing Wage,2024-08-27 00:00:00,11.0,,34
1006623.0,37-42 30TH STREET,QN0105,Non Prevailing Wage,2025-04-22 00:00:00,19.0,,63
877798.0,CLAREMONT PARK APARTMENTS.YR15.FY25,BX0403,Non Prevailing Wage,2025-04-25 00:00:00,98.0,35.0,98
1014141.0,UPS. 1806 ANTHONY AVE,BX0502,Non Prevailing Wage,2025-06-30 00:00:00,111.0,,111
37595.0,MORNINGSIDE HEIGHTS III. HPO.FY25,MN0703,Non Prevailing Wage,2025-06-30 00:00:00,10.0,1.0,19
956166.0,MORNINGSIDE HEIGHTS III. HPO.FY25,MN0703,Non Prevailing Wage,2025-03-31 00:00:00,1.0,1.0,19
37595.0,MORNINGSIDE HEIGHTS III. HPO.FY25,MN0703,Non Prevailing Wage,2025-06-30 00:00:00,10.0,1.0,10
95425.0,2040 MCGRAW AVE APARTMENTS,BX0904,Non Prevailing Wage,2024-07-01 00:00:00,23.0,,24
1011483.0,131 CONCORD STREET APARTMENTS,BK0202,Non Prevailing Wage,2025-03-12 00:00:00,22.0,,73
933223.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,BX1202,Non Prevailing Wage,2024-12-19 00:00:00,14.0,8.0,15
930402.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,BX1202,Non Prevailing Wage,2024-12-19 00:00:00,13.0,6.0,15
933223.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,BX1202,Non Prevailing Wage,2024-12-19 00:00:00,14.0,12.0,15
1016814.0,180 PENNSYLVANIA AVE APARTMENTS,BK0502,Non Prevailing Wage,2025-03-27 00:00:00,50.0,,50
1017025.0,256 MT HOPE PLACE_HPS,BX0502,Non Prevailing Wage,2025-03-31 00:00:00,41.0,,42
1013796.0,633 EAST 230 STREET,BX1203,Non Prevailing Wage,2024-09-05 00:00:00,14.0,,25
956150.0,NORTH SHORE PLAZA.YR15.FY25,SI0107,Non Prevailing Wage,2025-03-31 00:00:00,1.0,,122
956128.0,NORTH SHORE PLAZA.YR15.FY25,SI0107,Non Prevailing Wage,2025-03-31 00:00:00,1.0,,122
956150.0,NORTH SHORE PLAZA.YR15.FY25,SI0107,Non Prevailing Wage,2025-03-31 00:00:00,1.0,,122
79328.0,WEST FARMS.HUDMF.FY25,BX0303,Non Prevailing Wage,2024-09-19 00:00:00,169.0,6.0,169
79328.0,WEST FARMS.HUDMF.FY25,BX0303,Non Prevailing Wage,2024-09-19 00:00:00,169.0,6.0,107
97336.0,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,BX0401,Non Prevailing Wage,2025-06-27 00:00:00,5.0,3.0,11
97336.0,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,BX0401,Non Prevailing Wage,2025-06-27 00:00:00,5.0,3.0,5
