gl_company,elevatordevicetype,filing_type,filingstatus_or_filingincludes,total,count,average
GREAT AMERICAN INS CO,Elevator,New Filing,Alteration/Replacement,13158.499999999998,7,1879.785714285714
ACCREDITED SURETY & CASUA,Elevator,New Filing,Alteration/Replacement,11226.3,1,11226.3
LLOYDS OF LONDON,Elevator,New Filing,Alteration/Replacement,5787.2,2,2893.6
PRINCETON EXCESS & SURP,Elevator,PAA,Alteration/Replacement,4284.1,1,4284.1
GREAT AMERICAN INS CO,Elevator,New Filing,New Installation,2839.6,2,1419.8
LLOYDS OF LONDON,Elevator,New Filing,New Installation,2748.5,1,2748.5
PRINCETON EXCESS&SURPLUS,Elevator,New Filing,New Installation,2511.6,1,2511.6
HARTFORD FIRE INSURANCE,Elevator,New Filing,Alteration/Replacement,2079.2,2,1039.6
GREAT AMERICAN INS CO,Dumbwaiter,New Filing,Alteration/Replacement,1616.4,1,1616.4
GREAT AMERICAN INS CO,Dumbwaiter,New Filing,New Installation,1603.6,2,801.8
GREAT AMERICAN INS,Elevator,New Filing,Alteration/Replacement,1512.6999999999998,2,756.3499999999999
CINCINNATI SPECIALTY,Elevator,New Filing,Alteration/Replacement,1345.8000000000002,6,224.30000000000004
ACCREDITED SURETY AND CAS,Elevator,New Filing,Alteration/Replacement,1070.5,1,1070.5
AMERICA EMPIRE SURPLUS LI,Elevator,New Filing,Alteration/Replacement,905.7,1,905.7
PRINCETON EXCESS&SURPLUS,Elevator,New Filing,Alteration/Replacement,473.1,1,473.1
GREAT AMERICAN INSURANCE CO,Accessibility Lift,New Filing,New Installation,420.7,1,420.7
SENTINEL INS COMPANY,Personnel Hoist,New Filing,New Installation,400.1,1,400.1
GREAT AMERICAN ALLIANCE,Accessibility Lift,New Filing,New Installation,317.7,1,317.7
GREAT AMERICAN INS COMPAN,Elevator,New Filing,Alteration/Replacement,267.1,1,267.1
GREAT AMERICAN ALLIANCE,Elevator,New Filing,Alteration/Replacement,267.1,1,267.1
NORTHFIELD INSURNCE CO,Elevator,New Filing,Alteration/Replacement,267.1,1,267.1
ZURICH AMERICAN INS,Elevator,New Filing,Alteration/Replacement,246.5,1,246.5
NATIONAL UNION FIRE INS,Escalator,New Filing,Remove,246.5,1,246.5
GREAT AMERICAN INSURANCE,Elevator,New Filing,Alteration/Replacement,225.9,1,225.9
Arch Insurance Co,Personnel Hoist,New Filing,New Installation,225.0,1,225.0
HIHSCOX INSURANCE CO,Personnel Hoist,New Filing,New Installation,225.0,1,225.0
GREAT AMERICAN E & S INS,Elevator,PAA,New Installation,225.0,1,225.0
GREAT AMERICAN INS CO,Elevator,PAA,New Installation,225.0,1,225.0
Accredited Surety & Cas Co i,Personnel Hoist,PAA,New Installation,225.0,1,225.0
NATIONAL UNION FIRE INS,Elevator,PAA,New Installation,225.0,1,225.0
OLD REPUBLIC INS CO,Dumbwaiter,New Filing,Remove,205.3,1,205.3
GREAT AMERICAN INS CO,Elevator,New Filing,Remove,195.0,1,195.0
