property_id,nyc_building_identification,property_name,address_1,report_year,category,count,avg_value,total_value,max_value
2750218,2019831,Prime: 4315 Webster Ave,4315 Webster Ave,2022,Low Emissions,1,1.3,1.3,1.3
2709443,4308862,Fairfield: 35-20 147th Street,35-20 147th Street,2022,Low Emissions,1,5.1,5.1,5.1
26710209,2005788,Feldco 1029,941 Southern Blvd,2022,Low Emissions,1,30.3,30.3,30.3
24774635,1041234,Living - 809 Madison Ave/30 E 68th St,809 Madison Ave,2022,Low Emissions,1,7.1,7.1,7.1
24774651,3329987 ; 3329988 ; 3338062,Living - 68 Richardson St,68 Richardson St,2022,Low Emissions,1,2.6,2.6,2.6
2956051,3856725;3393747,Red Group:  382 Willoughby Ave,382 Willoughby Ave,2022,Low Emissions,1,3.1,3.1,3.1
28115040,2016741,326 East 201 Street,326 East 201 Street,2022,Low Emissions,1,3.8,3.8,3.8
8490981,3070523,1150 Metropolitan Ave,1150 Metropolitan Ave,2022,Low Emissions,1,0.0,0.0,0.0
21694896,1077816,Morton Barrow Condo - 456 Hudson St,456 Hudson St,2022,Low Emissions,1,5.1,5.1,5.1
15288693,3063218,KM 409 Hewes Street,409 Hewes Street,2022,Low Emissions,1,6.3,6.3,6.3
24127141,4000753,23-23 Borden Avenue,23-23 Borden Avenue,2022,Low Emissions,1,3.6,3.6,3.6
2715809,3179391,Maxwell: 1601 AVENUE I,1615 Avenue I,2022,Low Emissions,1,3.8,3.8,3.8
24889846,4038912,Indus - 42-37 Hampton Street,42-37 Hampton Street,2022,Low Emissions,1,4.2,4.2,4.2
2800624,1061186,ABC: 409 Edgecombe Ave,409 Edgecombe Ave,2022,Low Emissions,1,5.7,5.7,5.7
2771469,1023382,CQ- 841 7 Avenue,"841 7 Avenue,",2022,Low Emissions,1,4.8,4.8,4.8
24214989,4113237,Northern Star - 147-25 Northern Blvd,147-25 Northern Blvd,2022,Low Emissions,1,5.5,5.5,5.5
14009907,4017180,23-25 31 Street,23-25 31 Street,2022,Low Emissions,1,4.3,4.3,4.3
24774630,1015225,Living - 131 West 35th Street,131 West 35th Street,2022,Low Emissions,1,4.7,4.7,4.7
15306290,2006081,KM 996 Aldus Street,996 Aldus Street,2022,Low Emissions,1,7.1,7.1,7.1
2795652,2014737,M&&L: 2280 Andrews Ave,2280 Andrews Ave,2022,Low Emissions,1,3.7,3.7,3.7
2876343,1007310,Tim Hoffman:383 West Broadway,383 West Broadway,2022,Low Emissions,1,4.6,4.6,4.6
17387092,1007005,Trenkmann - 241-245 Centre Street,241 Centre Street,2022,Low Emissions,1,2.1,2.1,2.1
15746283,4003812,KM - 33-01 Vernon Blvd,33-01 Vernon Blvd,2022,Low Emissions,1,6.9,6.9,6.9
7079432,2017059,2821 Briggs Realty LLC,2821 Briggs Avenue,2022,Low Emissions,1,7.6,7.6,7.6
18004868,2120270,1952 Benedict Avenue,1952 Benedict Avenue,2022,Low Emissions,1,7.3,7.3,7.3
18104646,3397665 ; 3193141,802 Avenue U,802 Avenue U,2022,Low Emissions,1,2.1,2.1,2.1
