school_name,school_type,category,count,avg_value,total_value,max_value
Queens Vocational and Technical High School,High School,Low engagement,1,5.9,5.9,5.9
J.H.S. M044 William J. O'Shea,Middle School,Medium engagement,1,6.7,6.7,6.7
P.S. 137 John L. Bernstein,Elementary School,Low engagement,1,,,
M.S. 224 Manhattan East School for Arts & Academics,Middle School,Medium engagement,1,7.8,7.8,7.8
J.H.S. 014 Shell Bank,Middle School,Medium engagement,1,6.7,6.7,6.7
I.S. 98 Bay Academy,Middle School,Medium engagement,1,6.7,6.7,6.7
Bronx Latin,Middle/ High School,Medium engagement,1,6.2,6.2,6.2
M.S. 223 The Laboratory School of Finance and Technology,Middle School,Medium engagement,1,7.7,7.7,7.7
P.S. 207 Elizabeth G. Leary,Elementary/ Middle School,Medium engagement,1,7.5,7.5,7.5
Abraham Lincoln YABC,YABC,Medium engagement,1,7.1,7.1,7.1
Boys and Girls High School,High School,Medium engagement,1,6.2,6.2,6.2
Pablo Neruda Academy for Architecture and World Studies,High School,Low engagement,1,6.0,6.0,6.0
Multicultural High School,High School,Medium engagement,1,6.1,6.1,6.1
P.S. 161 Pedro Albizu Campos,Elementary School,Medium engagement,1,8.0,8.0,8.0
"High School for Arts, Imagination and Inquiry",High School,Low engagement,1,5.9,5.9,5.9
Frances Perkins Academy,High School,Low engagement,1,6.0,6.0,6.0
Grace Dodge Career and Technical Education High School,High School,Low engagement,1,5.5,5.5,5.5
P.S. 051 Elias Howe,Elementary School,Low engagement,1,,,
P.S. 101 Andrew Draper,Middle School,Medium engagement,1,6.5,6.5,6.5
I.S. 072 Rocco Laurie,Middle School,Medium engagement,1,6.6,6.6,6.6
John V. Lindsay Wildcat Academy Charter School,Transfer School,Medium engagement,1,7.5,7.5,7.5
High School for Service & Learning at Erasmus,High School,Medium engagement,1,6.4,6.4,6.4
Isaac Newton Middle School for Math & Science,Middle School,Medium engagement,1,7.5,7.5,7.5
Eleanor Roosevelt High School,High School,Medium engagement,1,6.9,6.9,6.9
"Mathematics, Science Research and Technology Magnet High School",High School,Medium engagement,1,6.1,6.1,6.1
P.S. 003 The Margaret Gioiosa School,Elementary School,Low engagement,1,,,
George Washington Educational Campus YABC,High School,Medium engagement,1,7.4,7.4,7.4
DreamYard Preparatory School,High School,Medium engagement,1,6.4,6.4,6.4
High School of American Studies at Lehman College,High School,Medium engagement,1,7.5,7.5,7.5
High School for Law Enforcement and Public Safety,High School,Low engagement,1,5.3,5.3,5.3
Port Richmond High School,High School,Low engagement,1,6.0,6.0,6.0
Validus Preparatory Academy: An Expeditionary Learning School,High School,Medium engagement,1,6.6,6.6,6.6
River East Elementary,Elementary School,Low engagement,1,,,
P.S. /I.S. 384 Frances E. Carter,Elementary/ Middle School,Medium engagement,1,8.0,8.0,8.0
Upper School @ P.S. 25,Middle School,Medium engagement,1,6.7,6.7,6.7
George Washington Educational Campus YABC,YABC,Medium engagement,1,7.4,7.4,7.4
Urban Assembly Academy of Civic Engagement,Middle School,Medium engagement,1,6.8,6.8,6.8
High School for Contemporary Arts,High School,Medium engagement,1,6.6,6.6,6.6
Grace Dodge Career and Technical Education High School,YABC,Low engagement,1,5.5,5.5,5.5
M.S. 390,Middle School,Low engagement,1,,,
Jill Chaifetz Transfer High School,Transfer School,Medium engagement,1,6.7,6.7,6.7
Leadership and Public Service High School,High School,Medium engagement,1,6.2,6.2,6.2
M.S. 243 Center School,Middle School,High engagement,1,8.4,8.4,8.4
P.S. 046 Arthur Tappan,Elementary School,High engagement,1,8.3,8.3,8.3
P.S. 133 Fred R Moore,Elementary School,Medium engagement,1,7.3,7.3,7.3
Richard R. Green High School of Teaching,High School,Medium engagement,1,6.5,6.5,6.5
Fannie Lou Hamer Freedom High School,High School,Medium engagement,1,6.5,6.5,6.5
P.S./I.S. 210 - 21st Century Academy for Community Leadership,Elementary/ Middle School,Medium engagement,1,7.9,7.9,7.9
Franklin Delano Roosevelt High School,High School,Medium engagement,1,6.4,6.4,6.4
Queens High School for the Sciences at York College,High School,Medium engagement,1,6.7,6.7,6.7
University Neighborhood High School,High School,Low engagement,1,5.9,5.9,5.9
Brooklyn Democracy Academy,Transfer School,Medium engagement,1,7.2,7.2,7.2
