dbn,programname,geodistrict,programtype,accessibility,address,additionalpriorities,extendedhoursallschools
21K215,P.S. 215 Morris H. Weiss,21,District School,Partially Accessible,415 Avenue S,,PM
21K253,P.S. 253,21,District School,No Accessibility,601 Ocean View Avenue,,
15K038,P.S. 38 The Pacific,15,District School,No Accessibility,450 Pacific Street,,PM
15K516,Sunset Park Avenues Elementary School,15,District School,Partially Accessible,4222 4 Avenue,,Contact Program
10X207,P.S. 207,10,District School,No Accessibility,3030 Godwin Terrace,,AM
10X209,P.S. 209,10,District School,Fully Accessible,313 East 183 Street,,Contact Program
10X396,P.S. 396,10,District School,No Accessibility,1930 Andrews Avenue,,Contact Program
02M089,P.S. 89,2,District School,Fully Accessible,201 Warren Street,,Contact Program
02M124,P.S. 124 Yung Wing,2,District School,Partially Accessible,40 Division Street,,AM
02M340,Sixth Avenue Elementary School,2,District School,Fully Accessible,590 Sixth Avenue,,PM
05M129,P.S. 129 John H. Finley,5,District School,No Accessibility,425 West 130 Street,,AM
05M123,P.S. 123 Mahalia Jackson,5,District School,No Accessibility,301 West 140 Street,,
09X058,P.S. 58,9,District School,No Accessibility,459 East 176 Street,,Contact Program
14K257,P.S. 257 John F. Hylan,14,District School,Partially Accessible,60 Cook Street,,
16K628,Brooklyn Brownstone School,16,District School,No Accessibility,272 Macdonough Street,,Contact Program
08X182,P.S. 182,8,District School,No Accessibility,601 Stickball Boulevard,,
08X107,P.S. 107,8,District School,No Accessibility,1695 Seward Avenue,,
13K067,P.S. 67 Charles A. Dorsey,13,District School,No Accessibility,51 Saint Edwards Street,,
13K020,P.S. 20 Clinton Hill,13,District School,No Accessibility,225 Adelphi Street,,AM/PM
06M187,P.S./I.S. 187 Hudson Cliffs,6,District School,No Accessibility,349 Cabrini Boulevard,,Contact Program
06M189,P.S. 189,6,District School,Partially Accessible,2580 Amsterdam Avenue,,
04M182,The Bilingual Bicultural School,4,District School,No Accessibility,219 East 109 Street,,Contact Program
04M182,The Bilingual Bicultural School,4,District School,No Accessibility,219 East 109 Street,,
