school_name,website,partner_other,total,count,average
Francis Lewis High School,www.francislewishs.org,"Marathon Program, Day Care 811 @ PS 136, Queens Center for Progress, The School of Cooperative Technical Education (Co-op Tech), Vocational and Educational Services for Individuals with Disabilities (VESID)",4058.0,1,4058.0
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,www.laguardiahs.org,,2730.0,1,2730.0
Martin Van Buren High School,www.mvbhigh.com,,2096.0,1,2096.0
Herbert H. Lehman High School.,www.LehmanHS.com,,2059.0,1,2059.0
Beacon High School,www.beaconschool.org,,1276.0,1,1276.0
PROGRESS High School for Professional Careers,www.progresshighschool.org,"The Leadership Program, Big Apple Games, Health Plus",1083.0,1,1083.0
Richard R. Green High School of Teaching,http://schools.nyc.gov/schoolportals/02/M580,"Internship Opportunities: Local Elementary, Middle, and High Schools, Futures and Options, NY Downtown Hospital, Memorial Sloan Kettering Cancer Institute",593.0,1,593.0
Thurgood Marshall Academy for Learning and Social Change,http://schools.nyc.gov/schoolportals/05/M670,,572.0,1,572.0
"Science, Technology and Research Early College High School at Erasmus",www.starec.org,,532.0,1,532.0
Bronx Leadership Academy II High School,www.BronxleadershipAcademy2.org,"Manice Education Program, Bronx Zoo, Blue Engine",515.0,1,515.0
Brooklyn Preparatory High School,www.brooklynprephs.org,"Student Press Initiative, National Center for Restructing Education, Schools & Teaching (NCREST)",489.0,1,489.0
High School for Violin and Dance,www.hsvd.org,Bronx Cares,378.0,1,378.0
Validus Preparatory Academy: An Expeditionary Learning School,www.validusprep.org,,374.0,1,374.0
Brooklyn Lab School,www.brooklynlabschool.org,,364.0,1,364.0
Mott Haven Village Preparatory High School,http://schools.nyc.gov/schoolportals/07/X473,,344.0,1,344.0
Frederick Douglass Academy VII High School,http://schools.nyc.gov/schoolportals/23/K514,"Expanded Success Initiative, Digital Ready, NYC Teaching Collaborative, Creating Healthy Places, iLearn",328.0,1,328.0
Bronx Envision Academy,www.BronxEnvision.org,,239.0,1,239.0
Pelham Lab High School,http://schools.nyc.gov/schoolportals/08/X320,,95.0,1,95.0
Institute for Health Professions at Cambria Heights,www.ihpch.org,"Institute for Student Achievement (ISA)supports the development of our relationship building, literacy, mathematics, and college readiness programs.",82.0,1,82.0
