permitservicecompany,trailerstate,startstate,endstate,endcity,category,count,avg_value,total_value,max_value
JAMIE J HILL  DBA GATOR PERMITS,PA,NY,NY,,Standard,1,32000.0,32000,32000
"Planned Parenthood of New York City, Inc.",,NY,NY,Bronx,Standard,1,27500.0,27500,27500
HARRIS CAMDEN  TERMINAL EQUIPMENT CO,NJ,NY,NY,MANHATTAN,Heavy,5,121780.0,608900,151400
High Wide & Heavy Oversize Escorts LLC,NH,NY,NY,,Standard,1,45000.0,45000,45000
Custom Permit Service Company,NY,NY,NY,,Standard,1,41950.0,41950,41950
HARRIS CAMDEN  TERMINAL EQUIPMENT CO,NJ,NY,NY,,Standard,5,59204.0,296020,78520
High Wide & Heavy Oversize Escorts LLC,,NY,NY,MANHATTAN,Heavy,1,158400.0,158400,158400
All Mobile Video,NY,NY,NY,New York,Standard,1,65100.0,65100,65100
"New York Truck Escorts & Permits, Inc.",,NY,NY,MANHATTAN,Heavy,1,158400.0,158400,158400
"New York Truck Escorts & Permits, Inc.",ME,NY,NY,MANHATTAN,Heavy,1,164380.0,164380,164380
"New York Truck Escorts & Permits, Inc.",NY,NY,NY,,Standard,1,49000.0,49000,49000
Blue Bloods,PA,NY,NY,Brooklyn,Standard,1,53080.0,53080,53080
THE PERMIT COMPANY,ME,NY,NY,THE BRONX,Heavy,1,119000.0,119000,119000
"New York Truck Escorts & Permits, Inc.",,NY,NY,BROOKLYN,Heavy,1,156664.0,156664,156664
Con Edison Of New York,NY,NY,NY,Bronx,Standard,1,55000.0,55000,55000
"New York Truck Escorts & Permits, Inc.",PA,NY,NY,,Standard,1,42000.0,42000,42000
West Chester Permit LLc,ME,NY,NY,BROOKLYN,Standard,1,79000.0,79000,79000
HARRIS CAMDEN  TERMINAL EQUIPMENT CO,NJ,NY,NY,BROOKLYN,Standard,1,78000.0,78000,78000
Blue Bloods,PA,NY,NY,brooklyn,Standard,1,53080.0,53080,53080
Muthers Pilot Car Services,NY,NY,NY,,Standard,1,35000.0,35000,35000
Patrick McGuinness 817,GA,NY,NY,New York,Standard,1,24350.0,24350,24350
"Elite Motor Carrier Escort, LLC.",WA,NY,NY,,Standard,1,36500.0,36500,36500
"Comdata Network, Inc.",NJ,NY,NY,,Standard,1,98566.0,98566,98566
Ryan Cooke 817 DD,PA,NY,NY,MANHATTAN,Standard,1,44197.0,44197,44197
"New York Truck Escorts & Permits, Inc.",NJ,NY,NY,BROOKLYN,Heavy,1,161660.0,161660,161660
THE PERMIT COMPANY,ME,NY,NY,,Standard,1,40000.0,40000,40000
Muthers Pilot Car Services,PA,NY,NY,,Standard,2,59500.0,119000,70000
"New York Truck Escorts & Permits, Inc.",ON,NY,NY,,Standard,1,33000.0,33000,33000
Ruth Novoa - Film,PA,NY,NY,Queens,Standard,1,55000.0,55000,55000
Ambika DOT Service   -  DD,NJ,NY,NY,Brooklyn,Standard,1,60000.0,60000,60000
John McMorrow 817,GA,NY,NY,MANHATTAN,Standard,1,75000.0,75000,75000
BARKINGDOG ESCORTS AND PERMITS,AL,NY,NY,,Standard,1,57000.0,57000,57000
edwindiaz817,GA,NY,NY,Queens,Standard,1,34900.0,34900,34900
Shieed P Jones 817 Films,PA,NY,NY,Staten Island,Standard,1,67000.0,67000,67000
NJ Routing and Logistics,ME,NY,NY,MASPETH,Standard,1,63300.0,63300,63300
John M Hicks 817 DD,GA,NY,NY,BROOKLYN,Standard,1,56834.0,56834,56834
High Wide & Heavy Oversize Escorts LLC,NJ,NY,NY,,Standard,1,40000.0,40000,40000
NYC Dept of Sanitation,NY,NY,NY,Bronx,Standard,1,49100.0,49100,49100
NJ Routing and Logistics,ME,NY,NY,,Standard,1,41000.0,41000,41000
Edward Terriaca 817,GA,NY,NY,Brooklyn,Standard,1,47000.0,47000,47000
Anslem King 817         DD,PA,NY,NY,New York,Standard,1,46500.0,46500,46500
