fact_column,total_dimension1,average_dimension2,t2_block,t5_block,sequence_no,current_status
Auto-Generated,1000.0,5000.0,869,869,1.0,SAFE
Amended,5000.0,26000.0,1262,1262,1.0,UNSAFE
Auto-Generated,0.0,0.0,2639,2639,3.0,UNSAFE
Auto-Generated,2000.0,8375.0,2465,2465,1.0,SAFE
Auto-Generated,15000.0,45000.0,1412,1412,1.0,SWARMP
Initial,0.0,3750.0,740,740,1.0,SAFE
Auto-Generated,1000.0,11250.0,1527,1527,1.0,SWARMP
Auto-Generated,6000.0,20750.0,1849,1849,1.0,SAFE
Auto-Generated,0.0,12750.0,757,757,1.0,SAFE
Auto-Generated,7000.0,27000.0,4649,4649,,SAFE
Auto-Generated,112000.0,112000.0,4960,4960,1.0,No Report Filed
Auto-Generated,7000.0,33350.0,809,809,1.0,SWARMP
Auto-Generated,5000.0,14500.0,2703,2703,1.0,SWARMP
Auto-Generated,0.0,9000.0,1152,1152,1.0,SAFE
Auto-Generated,5000.0,18000.0,3315,3315,3.0,SAFE
Auto-Generated,5000.0,12000.0,3253,3253,1.0,SAFE
Auto-Generated,5000.0,50500.0,1131,1131,1.0,SAFE
Initial,10000.0,39950.0,1982,1982,1.0,SAFE
Auto-Generated,0.0,6625.0,797,797,1.0,SAFE
Auto-Generated,10000.0,3000.0,2290,2290,,SAFE
Auto-Generated,1000.0,17000.0,4959,4959,1.0,SAFE
Auto-Generated,1000.0,8000.0,1233,1233,1.0,UNSAFE
Auto-Generated,1000.0,9000.0,5785,5785,1.0,SAFE
Auto-Generated,0.0,21000.0,1029,1029,,SAFE
Auto-Generated,15000.0,50000.0,1412,1412,1.0,SAFE
Auto-Generated,5000.0,17000.0,208,208,1.0,SWARMP
Auto-Generated,0.0,11000.0,6100,6100,1.0,SAFE
Auto-Generated,78000.0,47700.0,1066,1066,1.0,SWARMP
Auto-Generated,5000.0,16000.0,3252,3252,1.0,SWARMP
Auto-Generated,5000.0,23000.0,15810,15810,1.0,UNSAFE
Auto-Generated,0.0,0.0,2639,2639,4.0,UNSAFE
Auto-Generated,0.0,3000.0,1855,1855,6.0,SAFE
Auto-Generated,0.0,9250.0,265,265,1.0,SWARMP
Auto-Generated,0.0,10250.0,1022,1022,1.0,SWARMP
Auto-Generated,5000.0,24600.0,3250,3250,1.0,UNSAFE
Auto-Generated,0.0,0.0,1029,1029,,No Report Filed
Auto-Generated,0.0,6000.0,1456,1456,1.0,SAFE
Auto-Generated,5000.0,51500.0,3112,3112,1.0,SAFE
Auto-Generated,0.0,1000.0,699,699,1.0,SAFE
Amended,0.0,0.0,3709,3709,1.0,SAFE
Auto-Generated,25000.0,62500.0,1721,1721,1.0,SAFE
Auto-Generated,3000.0,12000.0,3078,3078,1.0,UNSAFE
Auto-Generated,5000.0,7250.0,851,851,1.0,SWARMP
Amended,0.0,0.0,1349,1349,1.0,UNSAFE
Auto-Generated,12000.0,26500.0,4428,4428,1.0,SWARMP
Auto-Generated,0.0,0.0,2639,2639,9.0,UNSAFE
Auto-Generated,7000.0,6250.0,809,809,1.0,SAFE
Auto-Generated,10000.0,24000.0,2290,2290,,SWARMP
Auto-Generated,0.0,4000.0,1011,1011,1.0,UNSAFE
Auto-Generated,0.0,4650.0,2505,2505,1.0,SAFE
Initial,0.0,0.0,1162,1162,1.0,SWARMP
Auto-Generated,5000.0,5000.0,3315,3315,3.0,SWARMP
Auto-Generated,5000.0,16000.0,3252,3252,1.0,SAFE
Auto-Generated,0.0,0.0,3886,3886,2.0,SAFE
Auto-Generated,0.0,0.0,1649,1649,4.0,SAFE
Auto-Generated,12000.0,34750.0,5287,5287,1.0,SWARMP
Auto-Generated,0.0,0.0,490,490,4.0,SWARMP
Auto-Generated,11000.0,28000.0,1210,1210,1.0,SWARMP
