owner,valtype,taxclass,stories,period,record_count,total_amount,avg_amount,max_amount,min_amount
NYC TRANSIT,AC-TR,3,,FINAL,13,0,0.0,0,0
NYC DOT,AC-TR,1B,,FINAL,5,14020,2804.0,2804,2804
NYC DOT,AC-TR,3,,FINAL,150,67500,450.0,450,450
PARKS AND RECREATION,AC-TR,4,,FINAL,9,2535300,281700.0,281700,281700
NYC DOT,AC-TR,4,,FINAL,200,90000,450.0,450,450
DCAS,AC-TR,1B,,FINAL,36,2160,60.0,60,60
PARKS AND RECREATION,AC-TR,1B,,FINAL,9,19395,2155.0,2155,2155
DCAS,AC-TR,4,,FINAL,24,5481000,228375.0,456300,450
