dsny_district,dsny_zone,ntaname,categoriesaccepted,count,total
BX06,BX,Belmont,Food/Beverage,1,15.0
SI03,SI,,"Automotive, Pet Care/Food, Appliances, Cleaning Products, Storage/Haulage Containers, Tools/Equipment",1,11.0
BKS07,BKS,,"Food/Beverage, Baby Care",1,10.0
BKN08,BKN,Crown Heights (North),"Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Food/Beverage, Footwear, Cleaning Products, Personal Care/Hygiene",1,9.0
BKN04,BKN,Bushwick (East),"Clothing/Personal Accessories, Appliances, Kitchen Items, Footwear",1,7.0
BKN01,BKN,Greenpoint,"Arts/Crafts, Baby Care, Clothing/Personal Accessories, Food/Beverage, Footwear, Musical Instruments, Office Supplies/Stationary, Personal Care/Hygiene, Sports Equipment, Toys/Games",1,7.0
QE13,QE,Laurelton,Clothing/Personal Accessories,1,5.0
QW09,QW,Richmond Hill,"Clothing/Personal Accessories, Food/Beverage, Footwear, Baby Care, Cleaning Products, Household Furniture/Furnishings, Personal Care/Hygiene, Pet Care/Food",1,5.0
