contract_id_,contract_id_,project_status,stimulus_funding,funding_category,all_other_funding,date_funds_awarded_by_fed_state,total_displaced_city_funding
20090028652,20090028652,Completed 50% or more,18753652.0,Economic and Workforce Development,48979000.0,2009-03-23 00:00:00,0.0
20090029447,20090029447,Completed 50% or more,18753652.0,Economic and Workforce Development,48979000.0,2009-03-23 00:00:00,0.0
20090029437,20090029437,Completed 50% or more,18753652.0,Economic and Workforce Development,48979000.0,2009-03-23 00:00:00,0.0
260080766483,260080766483,Completed 50% or more,4035570.0,Health and Social Support,3800000.0,2009-04-01 00:00:00,0.0
9004135,9004135,Completed 50% or more,655000.0,Infrastructure,0.0,2009-03-18 00:00:00,0.0
EA20541,EA20541,Less than 50% completed,7450974.0,Neighborhood Stabilization,4584552.0,2009-08-10 00:00:00,0.0
20090028652,20090028652,Completed 50% or more,18753652.0,Economic and Workforce Development,48979000.0,2009-04-01 00:00:00,0.0
1C50012,1C50012,Less than 50% completed,316603358.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
9010140,9010140,Completed 50% or more,1648528.44,Infrastructure,0.0,2009-03-18 00:00:00,0.0
B058812,B058812,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
20090033538,20090033538,Completed 50% or more,18753652.0,Economic and Workforce Development,48979000.0,2009-03-23 00:00:00,0.0
9010793,9010793,Less than 50% completed,23724959.81,Infrastructure,0.0,2009-03-18 00:00:00,0.0
189,189,Fully Completed,1903336.0,Health and Social Support,112333296.0,2009-06-10 00:00:00,0.0
90269A,90269A,Completed 50% or more,5328321.0,Economic and Workforce Development,7100000.0,2009-03-23 00:00:00,0.0
7000703,7000703,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
B058812,B058812,Less than 50% completed,707717837.0,Education,553159236.0,2009-04-01 00:00:00,0.0
7105781,7105781,Less than 50% completed,707717837.0,Education,553159236.0,2009-04-01 00:00:00,0.0
1C50012,1C50012,Less than 50% completed,316603358.0,Education,553159236.0,2009-04-01 00:00:00,0.0
NCLB014,NCLB014,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
QR1640N,QR1640N,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
7105781,7105781,Less than 50% completed,316603358.0,Education,553159236.0,2009-04-01 00:00:00,0.0
NCLB017,NCLB017,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
9010865,9010865,Less than 50% completed,23724959.81,Infrastructure,0.0,2009-03-18 00:00:00,0.0
QC5110D,QC5110D,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
7000320,7000320,Less than 50% completed,316603358.0,Education,553159236.0,2009-04-01 00:00:00,0.0
20090029345,20090029345,Completed 50% or more,18753652.0,Economic and Workforce Development,48979000.0,2009-03-23 00:00:00,0.0
7105781,7105781,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
7000605,7000605,Less than 50% completed,316603358.0,Education,553159236.0,2009-04-01 00:00:00,0.0
B075108,B075108,Less than 50% completed,14713215.0,Education,0.0,2009-06-19 00:00:00,0.0
1C42802,1C42802,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
7105781,7105781,Less than 50% completed,316603358.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
QC5100B,QC5100B,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
7000588,7000588,Less than 50% completed,707717837.0,Education,1572000000.0,2009-04-01 00:00:00,0.0
