fullpermitno,total_axle2loadrating
PWXH-2015821-755,
ZVPY-2015914-788,24020.0
TMFM-2015819-747,5750.0
EVWI-2014111-1057,5750.0
EVWI-2014111-1000,5675.0
TILC-2015224-25,6610.0
DE7L-2014108-934,8800.0
GMEJ-2015722-660,8100.0
GPQZ-201482-862,7660.0
KUPW-2015711-595,9920.0
GPQZ-201482-841,
HMQ7-2014117-1123,32400.0
EVWI-2014111-1096,5750.0
EVWI-2014111-988,
EVWI-2014111-992,
EVWI-2014111-1081,5750.0
B2GR-20151122-1068,24020.0
FG5G-2015930-823,
X7BE-2014109-955,26600.0
B2GR-20151122-1060,5750.0
XQAD-20141222-1294,
S8W5-2015421-382,24020.0
HMQ7-2014117-1132,8800.0
Z72R-2015423-406,8800.0
TMFM-2015819-749,33500.0
X7BE-2014109-961,
EVWI-2014111-1062,5750.0
T8QG-20141218-1269,24020.0
V7G8-20151123-1100,5750.0
V7G8-20151123-1086,5750.0
FJVQ-20151020-892,6720.0
