school_name,boro,category,count,avg_value,total_value,max_value
Richard R. Green High School of Teaching,M,Low College/Career Readiness,1,0.44,0.44,0.44
"The School for Classics: An Academy of Thinkers, Writers and Performers",K,Low College/Career Readiness,1,0.42,0.42,0.42
"The Marie Curie School for Medicine, Nursing, and Health Professions",X,Low College/Career Readiness,1,0.61,0.61,0.61
Jamaica Gateway to the Sciences,Q,Low College/Career Readiness,1,0.82,0.82,0.82
Eagle Academy for Young Men II,K,Low College/Career Readiness,1,0.67,0.67,0.67
Queens Metropolitan High School,Q,Low College/Career Readiness,1,0.72,0.72,0.72
Central Park East High School,M,Low College/Career Readiness,1,0.92,0.92,0.92
The School for Human Rights,K,Low College/Career Readiness,1,0.68,0.68,0.68
International High School at Lafayette,K,Low College/Career Readiness,1,0.53,0.53,0.53
Williamsburg High School for Architecture and Design,K,Low College/Career Readiness,1,0.49,0.49,0.49
The Urban Assembly Bronx Academy of Letters,X,Low College/Career Readiness,1,0.48,0.48,0.48
Kingsbridge International High School,X,Low College/Career Readiness,1,0.37,0.37,0.37
The Global Learning Collaborative,M,Low College/Career Readiness,1,0.56,0.56,0.56
Columbia Secondary School,M,Low College/Career Readiness,1,0.97,0.97,0.97
Validus Preparatory Academy,X,Low College/Career Readiness,1,0.48,0.48,0.48
Frederick Douglass Academy VI High School,Q,Low College/Career Readiness,1,0.24,0.24,0.24
Crotona International High School,X,Low College/Career Readiness,1,0.32,0.32,0.32
Urban Assembly Gateway School for Technology,M,Low College/Career Readiness,1,0.71,0.71,0.71
Millennium High School,M,Low College/Career Readiness,1,0.87,0.87,0.87
 The American Sign Language and English Secondary School,M,Low College/Career Readiness,1,0.41,0.41,0.41
