doing_business_as_dba,qualify_alcohol,approved_for_sidewalk_seating,category,count,avg_value,total_value,max_value
GULSHAN TERRACE,True,True,large,1,100.0,100.0,100.0
jaya 888,True,True,medium,1,50.0,50.0,50.0
THE DUPLEX,True,True,large,1,95.0,95.0,95.0
P J Horgan's,True,False,small,1,,,
R &amp; J LOUNGE,True,True,medium,1,36.0,36.0,36.0
TOSOCCHON,True,True,medium,1,43.0,43.0,43.0
HOU YI HOT POT,True,True,small,1,15.0,15.0,15.0
81 PEARL STREET V ENTURE LTD,True,False,small,1,,,
Sunrise Mart Inc.,True,True,small,1,27.0,27.0,27.0
la villa pizza,True,True,medium,1,40.0,40.0,40.0
Basta Pasta,True,True,medium,1,40.0,40.0,40.0
Thai Farm Kitchen Seaport,True,True,small,1,30.0,30.0,30.0
pasiones sport bar,True,True,small,1,18.0,18.0,18.0
Tito Murphys,True,True,medium,1,34.0,34.0,34.0
Il Brigante Restaurant,True,False,small,1,,,
RedFarm,True,True,medium,1,34.0,34.0,34.0
Kobe 1 Inc.,True,True,small,1,19.0,19.0,19.0
MALA PROJECT,True,False,small,1,,,
"Laguna Azul 1910, Inc.",True,True,medium,1,42.0,42.0,42.0
Carra LLC,True,True,large,1,65.0,65.0,65.0
SAN MARZANO,True,True,large,1,87.0,87.0,87.0
The Wilky,True,False,small,1,,,
Sweet Polly,True,True,small,1,20.0,20.0,20.0
ROW HOUSE,True,False,small,1,,,
Noree Thai Bazaar,True,True,small,1,20.0,20.0,20.0
LA TRONCALENA RESTAURANT,True,True,small,1,25.0,25.0,25.0
Graziella's Restaurant,True,True,medium,1,50.0,50.0,50.0
EAST COAST BURGERS,True,True,small,1,28.0,28.0,28.0
Fleming By Le Bilboquet,True,True,medium,1,36.0,36.0,36.0
