programname,geodistrict,t3_programname,t3_programtype,t4_address,languagesupportprograms,t5_address,extendedhoursallschools
The Bilingual Bicultural School,4,The Bilingual Bicultural School,District School,219 East 109 Street,,219 East 109 Street,Contact Program
The Bilingual Bicultural School,4,The Bilingual Bicultural School,District School,219 East 109 Street,,219 East 109 Street,
P.S. 38 The Pacific,15,P.S. 38 The Pacific,District School,450 Pacific Street,,450 Pacific Street,PM
Sunset Park Avenues Elementary School,15,Sunset Park Avenues Elementary School,District School,4222 4 Avenue,,4222 4 Avenue,Contact Program
P.S. 89,2,P.S. 89,District School,201 Warren Street,,201 Warren Street,Contact Program
P.S. 124 Yung Wing,2,P.S. 124 Yung Wing,District School,40 Division Street,,40 Division Street,AM
Sixth Avenue Elementary School,2,Sixth Avenue Elementary School,District School,590 Sixth Avenue,,590 Sixth Avenue,PM
P.S. 40 Augustus Saint-Gaudens,2,P.S. 40 Augustus Saint-Gaudens,District School,320 East 20 Street,,320 East 20 Street,
Sixth Avenue Elementary School,2,Sixth Avenue Elementary School,District School,590 Sixth Avenue,,590 Sixth Avenue,
P.S./I.S. 187 Hudson Cliffs,6,P.S./I.S. 187 Hudson Cliffs,District School,349 Cabrini Boulevard,,349 Cabrini Boulevard,Contact Program
P.S. 189,6,P.S. 189,District School,2580 Amsterdam Avenue,,2580 Amsterdam Avenue,
P.S. 182,8,P.S. 182,District School,601 Stickball Boulevard,,601 Stickball Boulevard,
P.S. 107,8,P.S. 107,District School,1695 Seward Avenue,,1695 Seward Avenue,
P.S. 67 Charles A. Dorsey,13,P.S. 67 Charles A. Dorsey,District School,51 Saint Edwards Street,,51 Saint Edwards Street,
P.S. 20 Clinton Hill,13,P.S. 20 Clinton Hill,District School,225 Adelphi Street,,225 Adelphi Street,AM/PM
Brooklyn Brownstone School,16,Brooklyn Brownstone School,District School,272 Macdonough Street,,272 Macdonough Street,Contact Program
P.S. 129 John H. Finley,5,P.S. 129 John H. Finley,District School,425 West 130 Street,,425 West 130 Street,AM
P.S. 123 Mahalia Jackson,5,P.S. 123 Mahalia Jackson,District School,301 West 140 Street,,301 West 140 Street,
P.S. 58,9,P.S. 58,District School,459 East 176 Street,,459 East 176 Street,Contact Program
P.S. 257 John F. Hylan,14,P.S. 257 John F. Hylan,District School,60 Cook Street,,60 Cook Street,
P.S. 215 Morris H. Weiss,21,P.S. 215 Morris H. Weiss,District School,415 Avenue S,,415 Avenue S,PM
P.S. 253,21,P.S. 253,District School,601 Ocean View Avenue,,601 Ocean View Avenue,
P.S. 207,10,P.S. 207,District School,3030 Godwin Terrace,,3030 Godwin Terrace,AM
P.S. 209,10,P.S. 209,District School,313 East 183 Street,,313 East 183 Street,Contact Program
P.S. 396,10,P.S. 396,District School,1930 Andrews Avenue,,1930 Andrews Avenue,Contact Program
