fact_column,total_dimension1,average_dimension2
'1 SET OF 3/O',146.0,114.86301369863014
'45 amps',146.0,114.86301369863014
'',25270.0,117.17529880478088
'3 #2 awg',146.0,114.86301369863014
'1 - 20 circ.',146.0,114.86301369863014
'4/3 riser',146.0,114.86301369863014
'30 amps for fire alarm',146.0,114.86301369863014
'30 circuits',146.0,114.86301369863014
"'(1) 200A, (3) 100A'",584.0,114.86301369863014
'60 CKT',292.0,114.86301369863014
'1 X 2400A',146.0,114.86301369863014
"'2@20AMP, 1@15AMP'",146.0,114.86301369863014
'4/000',146.0,114.86301369863014
'3-#6 & 1-#8G',292.0,114.86301369863014
'2@30A',292.0,114.86301369863014
'42 circuit breaker panels',584.0,114.86301369863014
'St Johnson',146.0,114.86301369863014
'24-circuit',730.0,114.86301369863014
"'3x#6,3x#10,2x2x#10'",584.0,114.86301369863014
'#3AWG',2190.0,114.86301369863014
'100 amp',292.0,114.86301369863014
'3@10 1@8',146.0,114.86301369863014
'3#2',146.0,114.86301369863014
'8/16',146.0,114.86301369863014
"'3x#6,3x3x#10'",584.0,114.86301369863014
"'1 #6 SER , 1 #6 FED'",292.0,114.86301369863014
'1-100 amps',146.0,114.86301369863014
'24 pole 125A',146.0,114.86301369863014
"'36sets2/0, 3sets3/0, 4 sets4/0'",6278.0,114.86301369863014
