complaint_type,address_type,total,count,average
Noise - Residential,ADDRESS,52962.0,5,10592.4
HEAT/HOT WATER,ADDRESS,43810.0,4,10952.5
Noise - Vehicle,ADDRESS,43085.0,4,10771.25
Blocked Driveway,ADDRESS,32638.0,3,10879.333333333334
Illegal Parking,ADDRESS,31663.0,3,10554.333333333334
PLUMBING,ADDRESS,30926.0,3,10308.666666666666
Water System,ADDRESS,23077.0,2,11538.5
Street Condition,ADDRESS,21871.0,2,10935.5
Noise - Street/Sidewalk,ADDRESS,21248.0,2,10624.0
GENERAL,ADDRESS,20916.0,2,10458.0
Damaged Tree,ADDRESS,11436.0,1,11436.0
Food Establishment,ADDRESS,11379.0,1,11379.0
Drinking,UNRECOGNIZED,11377.0,1,11377.0
Consumer Complaint,ADDRESS,11372.0,1,11372.0
Derelict Vehicles,ADDRESS,11368.0,1,11368.0
Root/Sewer/Sidewalk Condition,ADDRESS,11235.0,1,11235.0
Abandoned Vehicle,ADDRESS,11234.0,1,11234.0
Graffiti,ADDRESS,11221.0,1,11221.0
Building/Use,ADDRESS,11209.0,1,11209.0
Panhandling,INTERSECTION,11208.0,1,11208.0
Animal in a Park,ADDRESS,11105.0,1,11105.0
Illegal Parking,INTERSECTION,10470.0,1,10470.0
Water Conservation,ADDRESS,10465.0,1,10465.0
PAINT/PLASTER,ADDRESS,10458.0,1,10458.0
FLOORING/STAIRS,ADDRESS,10454.0,1,10454.0
Boilers,ADDRESS,10040.0,1,10040.0
Special Projects Inspection Team (SPIT),ADDRESS,10021.0,1,10021.0
New Tree Request,ADDRESS,10021.0,1,10021.0
ELEVATOR,ADDRESS,10017.0,1,10017.0
Taxi Complaint,ADDRESS,10017.0,1,10017.0
Noise - Helicopter,ADDRESS,10016.0,1,10016.0
Encampment,ADDRESS,10013.0,1,10013.0
