phone,average_vehicle_age,fatal_crashes,latitude,longitude,industry_sector
201-477-3200,3.6,0.0,40.922042,-74.069773,luxury limo
516-741-1515,3.0,0.0,40.782137,-73.826104,luxury limo
718-746-4670,2.3,0.0,40.779966,-73.898038,luxury limo
718-585-8500,2.1,0.0,40.803251,-73.90843,luxury limo
718-651-1166,7.3,0.0,40.737289,-73.89592,luxury limo
718-888-0402,3.1,0.0,40.764583,-73.83384,black car
646-665-7473,1.4,0.0,40.75273,-74.00641,black car
212-629-8000,3.5,0.0,40.756839,-73.999141,black car
718-703-3333,3.7,0.0,40.59092,-73.961,black car
917-500-4381,4.7,0.0,40.625703,-73.939761,black car
718-328-1111,5.9,0.0,40.819497,-73.88907,livery
718-703-3333,3.8,0.0,40.59092,-73.961,livery
718-232-3434,8.7,0.0,40.602225,-73.99315,livery
212-364-2000,2.9,0.0,40.751777,-73.930235,livery
718-881-0707,7.1,0.0,40.871273,-73.847835,livery
