requeststatus,tenantstreetname,total,average,count
Hold,fifth ave,2,2.0,1
Hold,Water St,3,3.0,1
Pending,Third AVenue,5,5.0,1
Hold,Lexington Avenue,25,5.0,5
Pending,rockefeller plaza,2,2.0,1
Hold,East 42nd St,13,6.5,2
Pending,Times Square,1,1.0,1
Pending,Seventh Avenue,1,1.0,1
Hold,East 25th Street,3,3.0,1
Hold,3rd Avenue,2,2.0,1
Pending,Fifth Avenue,61,15.25,4
Pending,West 31st Street,8,8.0,1
Pending,5th Avenue,21,10.5,2
Pending,Lexington Avenue,10,10.0,1
Pending,West 54th Street,10,10.0,1
Hold,metro tech center,20,20.0,1
Pending,West 55th street,20,20.0,1
Hold,Times Square,6,6.0,1
Hold,Park Avenue South,10,10.0,1
Hold,Fifth Avenue,50,25.0,2
Pending,Ave of the Americas,3,3.0,1
Hold,court street,1,1.0,1
Pending,East 42nd Street,1,1.0,1
Pending,E46 Street,46,23.0,2
Hold,Lexington Ave.,6,6.0,1
Hold,AVenue of the Americas,1,1.0,1
Pending,Third Avenue,1,1.0,1
Hold,West 18 street,5,5.0,1
Pending,Madison Ave.,1,1.0,1
Hold,East 16th St,4,4.0,1
Hold,West 42nd Street,20,10.0,2
Hold,East 42nd Street,6,3.0,2
Pending,East 28th Street,20,20.0,1
Hold,W 55th Street,4,4.0,1
Pending,AVenue of the Americas,4,4.0,1
Hold,Avenue of the Americas,23,2.5555555555555554,9
Hold,E. 42nd St.,13,6.5,2
Hold,West 55th Street,8,4.0,2
Pending,Park Avenue,11,2.75,4
Pending,3 ave,1,1.0,1
Pending,Avenue of the Americas,24,2.6666666666666665,9
Pending,Madison Ave,4,4.0,1
Pending,Park Ave.,2,2.0,1
Hold,Third Ave,2,2.0,1
Hold,Third Avenue,20,20.0,1
Pending,Wall Street,1,1.0,1
Pending,3rd Ave,2,2.0,1
Pending,East 40th Street,1,1.0,1
Pending,William Street,3,1.0,3
Hold,Broadway,6,6.0,1
Pending,Broadway,3,1.5,2
