dep_boiler_application,total_mmbtu_high_sum,owner,boiler_installation_date
CA065176H,27655.32,CHARLES H. GREENTHAL MGMT./VICTOR J. KAVY,1976
CB053902X,34492.5,ONE FIFTH AVE APT.CORP. c/o ROSE ASSOC.INC.,2002
CA119780P,6930.0,ROOSEVELT LEE 38 LLC,1980
CA528585R,2213.35,"LEIST, FRED",1985
CA256970R,8120.0,Manchester West 36 LLC-ATT: FARAJ SROUR,1970
CB161703X,2200.6215,PR 30 LLC,2003
CA309988L,3868.6725,12 E. 12TH STREET CORP. /ANDAEWS,1988
CA037584Z,3444.0,55 PARK TENANTS CORP.%BLUE STONE RESID. MGMT,1984
CB185502M,2486.75,ELO EQUITIES LLC,2002
CA330388Y,2030.0,227 TENANTS/SANDBERG MGT.CORP.,1988
CA313686H,4167.8945,PARISH OF TRINITY CHURCH,1986
CA349787L,5442.969,WASSERSTEIN BROS.,1987
CA010192J,5158.23,16 E. 40 REALTY LLC C/O QUARTZ RLTY.,1992
CA298992N,3410.4,RUDD RLTY MGMT.CORP/MARK McCONNELL,1992
CA282473P,5186.65,"MOCAL ENTERPRISES, INC.",1973
CA265489P,5075.0,162 ASSOCATES LLC c/o ABS PARTNERS RE LLC,1989
CA037577K,17246.25,CHURCH MANAGEMENT,1977
CB008208H,3387.5625,DEZER PROPERTIES,2008
CA215582Y,2205.0,BUCHBINDER & WARREN,1982
CA444369Y,0.0,"CITY UNIVERSITY OF NY,ATT:H.N.APSAN",1969
CA065885K,3111.99,T.U.C. MGMT. CO. INC.TIM O'KEEFE,1985
CA342190R,3150.0,119 FIFTH AVE. CORP.,1990
CA086251L,12188.6275,ABS PARTNERS REAL ESTATE LLC.,1951
CA198998X,4143.636,THREE O REALTY LLC,1998
CA066265Y,2371.04,CHAS.ST.ASSOC/MARTIN MGMT,1965
CA271292M,383.67,OUR LADY OF POMPEI R.C.CH,1992
CA112793M,17246.25,77 PARK AVE CONDO C/O CHARLES H. GREENTHAL MGMT.,1993
CA060877H,3423.0,MURRAY HILL OWNERS CO.,1977
CA007870M,5988.5,WEINREB MANAGEMENT LLC,1970
CA199594Y,7502.1188,470P.A.ASSOC/S.L.GREEN MG,1994
CA166189J,4512.3855,"CHELSEA 25, LLC",1989
CA020979M,1522.5,BROCROS REALTY,1979
CA223793Y,8002.26,REAL ESTATE INDUSTRIAL INC,1993
CA293873H,2963.8,CONCOURSE MGMT/BLDG MGMT INC.,1973
CA377586N,5775.0,"YOUNG,CARL S.",1986
CA213972K,21557.8125,EXTELL DEVELOPMENT COMPANY,1972
CA306493X,4828.95,130 WEST 57 STREET CO.LLC,1993
CA028979Z,7933.275,1 HUDSON PK INC/ANDREW BL. CORP.,1979
CB157908X,2722.818,MARTIN BAUMRIND,2008
CA128097P,6060.6,"110 W.40 JOINT VEN%ADAMS & CO.,LLC",1997
CA214789R,1522.5,"EBM DEVELOPMENT CO.,LTD.",1989
CA269084P,8623.125,WG 27th STREET LLC C/O THE WITKOFF GROUP,1984
CB195606X,8623.13,RANDAL HSE. OWNERS %AKAM ASSOC.,2006
CB134107L,2709.0,29 W. 36TH ST. LLC %BERSTEIN R.E. CO.,2007
CA030378X,5748.75,201 W. 21ST STREET TENANTS CORP.,1978
CB126407J,9795.87,WEST 63 EMPIRE ASSOCIATES LLC,2007
CA007490K,2233.0,JOSE TUR,1990
CA475970R,2667.42,HOLD BOUNCED CHECK,1970
CA580586R,1736.49,GVA WILLIAMS REAL ESTATE CO.,1986
CA271072K,10373.3,MIRANDA REALTY ASSOC.,1972
