contract_id_,funding_category,project_status,date_funds_awarded_by_fed_state,category,count,avg_value,total_value,max_value
1C42802,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,1,707717837.0,707717837.0,707717837.0
260080766483,Health and Social Support,Completed 50% or more,2009-04-01 00:00:00,High Funding,1,4035570.0,4035570.0,4035570.0
189,Health and Social Support,Fully Completed,2009-06-10 00:00:00,High Funding,3,1903336.0,5710008.0,1903336.0
QC5110D,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,1,707717837.0,707717837.0,707717837.0
20090028652,Economic and Workforce Development,Completed 50% or more,2009-03-23 00:00:00,High Funding,1,18753652.0,18753652.0,18753652.0
QC5100B,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,2,707717837.0,1415435674.0,707717837.0
20090028652,Economic and Workforce Development,Completed 50% or more,2009-04-01 00:00:00,High Funding,1,18753652.0,18753652.0,18753652.0
7000703,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,2,707717837.0,1415435674.0,707717837.0
B058812,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,80,707717837.0,56617426960.0,707717837.0
9010865,Infrastructure,Less than 50% completed,2009-03-18 00:00:00,High Funding,4,23724959.81,94899839.24,23724959.81
7000320,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,72,316603358.0,22795441776.0,316603358.0
7000605,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,6,316603358.0,1899620148.0,316603358.0
20090029345,Economic and Workforce Development,Completed 50% or more,2009-03-23 00:00:00,High Funding,1,18753652.0,18753652.0,18753652.0
7105781,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,3520,512160597.5,1802805303200.0,707717837.0
B075108,Education,Less than 50% completed,2009-06-19 00:00:00,High Funding,2,14713215.0,29426430.0,14713215.0
1C50012,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,12,316603358.0,3799240296.0,316603358.0
90269A,Economic and Workforce Development,Completed 50% or more,2009-03-23 00:00:00,High Funding,1,5328321.0,5328321.0,5328321.0
QR1640N,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,1,707717837.0,707717837.0,707717837.0
20090029447,Economic and Workforce Development,Completed 50% or more,2009-03-23 00:00:00,High Funding,2,18753652.0,37507304.0,18753652.0
NCLB017,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,22,707717837.0,15569792414.0,707717837.0
EA20541,Neighborhood Stabilization,Less than 50% completed,2009-08-10 00:00:00,High Funding,1,7450974.0,7450974.0,7450974.0
7000588,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,8,707717837.0,5661742696.0,707717837.0
NCLB014,Education,Less than 50% completed,2009-04-01 00:00:00,High Funding,12,707717837.0,8492614044.0,707717837.0
20090029437,Economic and Workforce Development,Completed 50% or more,2009-03-23 00:00:00,High Funding,2,18753652.0,37507304.0,18753652.0
20090033538,Economic and Workforce Development,Completed 50% or more,2009-03-23 00:00:00,High Funding,1,18753652.0,18753652.0,18753652.0
9010793,Infrastructure,Less than 50% completed,2009-03-18 00:00:00,High Funding,384,23724959.810000148,9110384567.040056,23724959.81
9010140,Infrastructure,Completed 50% or more,2009-03-18 00:00:00,High Funding,1,1648528.44,1648528.44,1648528.44
9004135,Infrastructure,Completed 50% or more,2009-03-18 00:00:00,Medium Funding,1,655000.0,655000.0,655000.0
