inspectionrequestid,total_hours,lotid,lotid,originaloverride,inspectionrequestid,detailentrydate
309,2.0,56436,56436,0,309,1998-03-09 15:53:11
2990,5.5,111750,111750,0,2990,1998-04-14 11:03:03
58562,6.5,36588,36588,0,58562,2006-05-23 10:02:53
130187,3.5,207691,207691,0,130187,2015-07-21 09:07:56
82912,3.5,75626,75626,0,82912,2008-12-26 22:44:46
85733,2.0,79234,79234,0,85733,2009-05-07 14:42:54
4332,4.0,8132,8132,0,4332,1998-08-31 09:21:07
44331,5.5,13967,13967,0,44331,2004-10-07 11:24:01
132645,6.5,209541,209541,0,132645,2015-11-23 12:42:55
12094,5.5,107635,107635,0,12094,1999-12-27 08:34:33
112082,4.0,185409,185409,0,112082,2012-08-09 10:29:07
24229,6.5,147281,147281,0,24229,2002-06-11 08:22:45
19895,6.5,134747,134747,0,19895,2001-06-12 08:57:44
55547,3.5,31105,31105,0,55547,2005-12-05 11:52:15
7804,3.5,75266,75266,0,7804,1999-04-06 10:21:48
77457,6.5,67726,67726,0,77457,2008-08-19 11:14:49
3382,2.0,106434,106434,0,3382,1998-05-26 09:34:32
54179,6.5,28725,28725,0,54179,2005-10-07 09:11:03
17476,6.5,126197,126197,0,17476,2000-12-20 14:41:27
96980,6.5,94024,94024,0,96980,2010-06-30 11:49:57
1870,11.0,101001,101001,0,1870,1998-06-01 11:24:54
61742,0.5,41841,41841,0,61742,2006-09-19 09:34:40
109510,5.5,182361,182361,0,109510,2012-03-12 10:05:10
60794,13.0,40251,40251,0,60794,2006-08-14 14:17:19
10050,2.5,109674,109674,0,10050,2000-04-10 10:59:07
109079,6.5,181903,181903,0,109079,2012-03-27 09:15:08
26940,6.5,152654,152654,0,26940,2002-10-07 09:52:43
40125,6.5,7338,7338,0,40125,2004-09-07 08:58:42
67133,6.5,51402,51402,0,67133,2007-06-06 10:57:04
17037,6.5,122541,122541,0,17037,2000-10-16 08:59:35
109990,3.5,182954,182954,0,109990,2012-04-16 11:23:02
30505,6.5,163786,163786,0,30505,2003-08-12 10:22:42
76632,6.5,66271,66271,0,76632,2008-04-23 14:29:57
25125,6.5,148982,148982,0,25125,2002-05-10 10:01:06
8641,5.5,131159,131159,0,8641,2001-07-23 10:15:21
38338,6.5,3501,3501,0,38338,2004-02-17 14:33:10
17037,5.5,122541,122541,0,17037,2000-10-17 14:22:56
66183,6.5,49531,49531,0,66183,2007-05-07 09:16:34
11783,1.0,112453,112453,0,11783,2000-03-28 10:45:19
1747,2.5,32165,32165,0,1747,1998-04-09 12:45:39
128240,6.5,204033,204033,1,128240,2015-03-16 11:39:00
27571,6.5,161575,161575,0,27571,2004-02-03 10:28:53
105445,4.5,177491,177491,0,105445,2011-08-30 12:48:19
18280,6.5,130151,130151,0,18280,2001-05-14 14:56:51
133674,6.5,211158,211158,0,133674,2016-01-19 10:31:12
2270,4.5,167219,167219,0,2270,1998-09-08 15:58:38
133367,6.5,210567,210567,0,133367,2015-12-11 09:37:38
19547,6.5,134136,134136,0,19547,2001-07-17 08:14:05
67133,6.5,51402,51402,0,67133,2007-06-06 10:57:44
86854,3.0,80421,80421,0,86854,2009-06-09 15:42:22
64175,6.5,45939,45939,0,64175,2007-01-18 08:48:45
41956,6.5,10285,10285,0,41956,2004-08-31 14:40:50
