latitude,longitude,queens_condominium_property_neighborhood,queens_condominium_property_year_built,queens_condominium_property_est_gross_income,total_market_value_per_sqft
40.714545,-73.822668,BRIARWOOD,1990,285000,51.0
40.744073,-73.894052,ELMHURST,1988,177548,43.6
40.709687,-73.819265,BRIARWOOD,1966,3288946,63.0
40.751705,-73.938134,LONG ISLAND CITY,2005,648450,104.0
40.742806,-73.884112,ELMHURST,1989,2357640,67.0
40.784767,-73.85684,COLLEGE POINT,2002,633885,87.0
40.742814,-73.793441,FLUSHING-NORTH,1982,702000,51.0
40.734349,-73.865897,ELMHURST,1961,4080186,42.0
40.665531,-73.855885,HOWARD BEACH,1977,759800,49.0
40.7569,-73.830442,FLUSHING-NORTH,1987,1373700,71.0
40.765447,-73.827186,FLUSHING-NORTH,1997,324896,75.0
40.762573,-73.798033,FLUSHING-NORTH,1937,1232500,49.1
40.726309,-73.859011,REGO PARK,1941,928536,43.6
40.762372,-73.819332,FLUSHING-NORTH,1983,1829232,67.0
40.744133,-73.896823,WOODSIDE,1986,273577,65.0
40.750796,-73.861656,CORONA,2005,294000,91.0
