t2_block,t4_block,t4_owner_phone,t5_owner_phone,sign_const_type,category,count,avg_value,total_value,max_value
10496,10496,5163265353,5163265353,,light,28,0.0,0,0
7445,7445,9142888100,9142888100,,light,1,0.0,0,0
5149,5149,3474686615,3474686615,,light,1,0.0,0,0
120,120,7183299537,7183299537,,light,2,0.0,0,0
3414,3414,9176998693,9176998693,,light,1,0.0,0,0
763,763,7184853000,7184853000,,light,2,0.0,0,0
11082,11082,5164292244,5164292244,,light,2,0.0,0,0
2361,2361,7189831100,7189831100,,light,2,0.0,0,0
1094,1094,2125642246,2125642246,,light,1,0.0,0,0
5037,5037,9174462632,9174462632,,light,1,0.0,0,0
12700,12700,5164727880,5164727880,,light,4,0.0,0,0
8129,8129,2123769300,2123769300,,light,2,0.0,0,0
1931,1931,2126784400,2126784400,,light,1,0.0,0,0
846,846,2125030909,2125030909,,light,1,0.0,0,0
8778,8778,9147618880,9147618880,,light,1,0.0,0,0
5036,5036,6462440901,6462440901,,light,1,0.0,0,0
5010,5010,2126092656,2126092656,,light,4,0.0,0,0
1227,1227,2127443300,2127443300,,light,3,0.0,0,0
838,838,2125639290,2125639290,,light,1,0.0,0,0
814,814,2039472825,2039472825,,light,2,0.0,0,0
7702,7702,6099242262,6099242262,,light,6,0.0,0,0
1037,1037,2124218100,2124218100,,light,1,0.0,0,0
1479,1479,7184940717,7184940717,,light,1,0.0,0,0
1272,1272,6469653616,6469653616,,light,6,0.0,0,0
3255,3255,7189077555,7189077555,,light,1,0.0,0,0
998,998,9176475509,9176475509,,light,2,0.0,0,0
6731,6731,5163265353,5163265353,,light,42,0.0,0,0
499,499,2122161796,2122161796,,light,2,0.0,0,0
353,353,6467346681,6467346681,,light,1,0.0,0,0
1015,1015,9176475309,9176475309,,light,4,0.0,0,0
6284,6284,7182254740,7182254740,,light,1,0.0,0,0
806,806,2122576600,2122576600,,light,9,0.0,0,0
6241,6241,7182246300,7182246300,,light,1,0.0,0,0
1893,1893,2126499400,2126499400,,light,1,0.0,0,0
4642,4642,5163265353,5163265353,,light,42,0.0,0,0
995,995,2122576600,2122576600,,light,6,0.0,0,0
9755,9755,2124881645,2124881645,,light,14,0.0,0,0
1166,1166,2128770028,2128770028,,light,2,0.0,0,0
3962,3962,6306238437,6306238437,,light,5,0.0,0,0
4938,4938,5163265353,5163265353,,light,28,0.0,0,0
1909,1909,2128698580,2128698580,,light,2,0.0,0,0
1276,1276,2126970696,2126970696,,light,1,0.0,0,0
5442,5442,7184754736,7184754736,,light,10,0.0,0,0
8591,8591,7182737575,7182737575,,light,8,0.0,0,0
1105,1105,2122576600,2122576600,,light,9,0.0,0,0
7452,7452,7189660303,7189660303,,light,1,0.0,0,0
8933,8933,5163435050,5163435050,,light,1,0.0,0,0
1758,1758,5165265955,5165265955,,light,3,0.0,0,0
1171,1171,2124881645,2124881645,,light,84,0.0,0,0
